County,State,mean_life_expectancy,State_FIPS,County_FIPS,disability_rate,white_population,total_population,age_60_and_over,poverty_rate,housing_cost_burden,bachelors_and_above_percentage,median_gross_rent,age_15_to_44_percentage,gini_index,native_american_population,less_than_9th_grade_percentage,health_insurance_rate,unemployment_rate,median_household_income,asian_population,per_capita_income,total_population_race,high_school_only_percentage,median_home_value,black_population,age_18_and_under_percentage,Year
Marathon County,Wisconsin,80.387889628035,55,73,10.7,123161,134041,12.6,10.4,1238,21.1,685,78.2,0.4209,417,4.3,8.8,7.3,53762,7226,27173,134041,39.3,142600,693,8.3,2012
Marengo County,Alabama,74.31817729379,1,91,23.3,9688,20909,15.1,22.8,140,16.5,453,77.3,0.4978,13,6.4,12.1,10.6,34515,39,20208,20909,37.3,89500,10926,9.1,2012
Maricopa County,Arizona,80.2124326116695,4,13,9.8,3114615,3841819,11.0,15.8,44938,30.9,944,75.9,0.4559,71329,6.6,17.2,9.0,54385,133497,27552,3841819,22.5,193900,192883,10.3,2012
Maries County,Missouri,77.4919511331899,29,125,18.9,8874,9140,16.9,14.3,24,12.1,521,78.3,0.3987,44,5.5,12.2,10.1,44885,42,21883,9140,48.7,118600,76,8.1,2012
Marin County,California,83.9987058251874,6,41,8.6,201272,252759,15.2,7.5,3413,53.2,1598,81.3,0.5067,667,5.0,9.4,6.9,90962,14407,55695,252759,13.3,810700,7284,6.5,2012
Marinette County,Wisconsin,78.5020187502375,55,75,14.6,40481,41704,18.0,13.1,299,13.4,568,82.4,0.4282,186,3.3,8.7,9.1,41533,171,23689,41704,43.2,108100,117,7.9,2012
Marion County,Alabama,74.3185965980805,1,93,22.8,28907,30641,16.6,20.9,199,7.7,467,79.6,0.4527,48,11.4,12.7,10.9,31970,121,18610,30641,38.2,76400,1189,7.7,2012
Marion County,Arkansas,75.5766832392705,5,89,25.2,16183,16712,23.7,18.2,83,12.5,557,84.8,0.4196,72,3.9,18.7,9.7,33497,51,18935,16712,39.6,91600,39,6.7,2012
Marion County,Florida,77.3074938351339,12,83,16.5,270917,331987,25.0,17.3,2683,18.4,835,81.9,0.4427,1261,5.5,19.0,13.4,39770,4544,22191,331987,36.4,130900,41173,7.6,2012
Marion County,Georgia,76.7627012692049,13,197,20.0,5203,8615,12.6,26.1,106,8.8,435,76.5,0.4299,0,7.3,30.1,17.6,33875,90,16590,8615,43.2,75300,2854,7.6,2012
Marion County,Illinois,75.4868366424632,17,121,18.6,36672,39319,15.4,16.1,299,13.7,615,79.3,0.428,52,5.8,11.5,10.9,41723,217,21696,39319,37.7,71800,1283,8.6,2012
Marion County,Indiana,76.1909147593533,18,97,12.6,580773,904535,9.0,19.4,13292,28.6,751,76.2,0.4658,2274,5.5,17.0,11.2,42603,18219,24301,904535,29.1,120000,239965,10.3,2012
Marion County,Iowa,79.1450118292749,19,125,11.4,32338,33388,13.8,9.0,188,23.1,650,77.4,0.3891,99,3.0,5.9,5.0,53684,397,24898,33388,37.1,132700,185,10.5,2012
Marion County,Kansas,78.6246839087988,20,115,14.2,12163,12565,18.3,11.6,65,19.4,562,79.4,0.3761,43,4.6,10.5,5.8,45323,38,21827,12565,40.4,81500,110,10.2,2012
Marion County,Kentucky,76.0971102267259,21,155,13.5,17544,19872,10.7,18.5,208,9.4,539,78.8,0.4468,0,7.6,11.1,7.7,37710,127,18720,19872,53.3,100600,1815,8.5,2012
Marion County,Mississippi,72.3672129789502,28,91,21.4,17722,26810,12.7,25.7,138,14.1,583,75.2,0.4896,3,9.6,20.5,10.5,31865,17,17927,26810,37.1,79500,8806,9.2,2012
Marion County,Missouri,76.9657541086513,29,127,14.0,26349,28703,13.6,15.5,262,18.6,553,77.3,0.4536,118,3.7,13.0,6.2,42756,192,22168,28703,40.6,102000,1676,9.0,2012
Marion County,Ohio,76.6797776141111,39,101,17.1,60324,66514,11.3,19.6,546,11.0,684,81.5,0.4224,318,4.0,13.2,9.5,40966,382,20165,66514,45.1,99800,3446,9.6,2012
Marion County,Oregon,79.1189423976745,41,47,14.0,253676,315391,11.3,18.0,3724,21.5,778,75.9,0.4285,5189,8.8,19.3,13.2,46654,5842,22182,315391,26.4,201100,3238,10.2,2012
Marion County,South Carolina,72.8214255239057,45,67,18.0,13540,33038,12.7,25.2,205,10.3,529,77.1,0.4712,43,7.3,19.4,14.0,30562,122,16783,33038,47.9,82400,18711,9.4,2012
Marion County,Tennessee,74.5089513226115,47,115,22.7,26474,28184,14.2,19.2,166,14.3,564,78.9,0.4413,21,12.0,14.9,9.1,39817,99,21008,28184,31.8,118200,396,8.6,2012
Marion County,Texas,74.1804551802738,48,315,24.6,7830,10544,20.8,21.9,96,11.8,566,82.2,0.4859,12,7.4,19.6,8.6,32226,69,20570,10544,41.9,71400,2538,6.0,2012
Marion County,West Virginia,76.9739627212931,54,49,15.2,53352,56460,14.6,17.4,336,21.0,631,81.2,0.442,35,4.9,14.1,5.4,40827,142,22295,56460,39.8,88300,1928,11.0,2012
Mariposa County,California,80.3397686208848,6,43,17.9,16132,18193,21.0,14.7,171,19.2,797,85.8,0.4224,669,1.6,13.3,14.7,52584,272,27670,18193,32.1,242900,141,5.4,2012
Marlboro County,South Carolina,72.7505496246093,45,69,19.6,11905,28750,10.6,29.2,263,6.6,537,81.5,0.4711,1039,13.2,18.6,15.2,28612,85,14466,28750,38.5,63600,14579,9.5,2012
Marquette County,Michigan,79.0648462653281,26,103,12.4,62916,67178,13.5,15.4,589,28.0,601,83.3,0.4475,1181,2.6,11.3,7.8,45349,412,23514,67178,33.5,126300,1066,14.6,2012
Marquette County,Wisconsin,78.5727985386693,55,77,16.8,14929,15366,19.3,13.8,99,12.5,696,81.7,0.3943,60,5.3,8.1,9.8,44879,55,23004,15366,44.7,145100,47,6.8,2012
Marshall County,Alabama,74.2594225666453,1,95,16.9,87176,93070,12.9,20.0,461,16.6,596,76.6,0.4613,696,12.1,17.6,9.1,38649,504,20480,93070,30.3,109800,1498,9.3,2012
Marshall County,Illinois,77.5453047115191,17,123,12.7,12158,12567,17.9,10.2,80,17.1,606,80.3,0.3935,11,3.2,9.3,7.0,52565,73,25985,12567,44.9,103500,52,6.9,2012
Marshall County,Indiana,78.5467905471958,18,99,12.8,43495,47045,12.4,12.9,228,14.4,650,74.9,0.4046,82,6.8,16.2,9.3,47218,308,22172,47045,42.7,123700,330,8.5,2012
Marshall County,Iowa,78.0445772470682,19,127,12.2,35248,40568,14.5,12.9,329,18.2,599,76.9,0.3998,162,10.0,10.5,7.1,49259,562,23121,40568,36.9,104000,756,8.5,2012
Marshall County,Kansas,79.1787437971039,20,117,12.2,9839,10083,18.5,12.3,53,11.5,503,79.5,0.4041,18,3.7,9.2,3.2,41867,85,22606,10083,53.2,77700,24,6.4,2012
Marshall County,Kentucky,75.8141217191829,21,157,15.5,30869,31393,17.8,12.0,118,16.3,591,81.0,0.4063,17,4.4,10.6,7.5,44802,76,22727,31393,45.6,103300,112,7.5,2012
Marshall County,Minnesota,82.0483258785891,27,89,12.9,9291,9475,16.9,7.9,56,15.0,509,79.7,0.3962,43,6.3,8.4,5.6,51000,19,26719,9475,39.7,87800,39,6.9,2012
Marshall County,Mississippi,73.6839495784972,28,93,17.4,18414,37019,11.4,23.7,188,8.7,649,78.7,0.4569,39,12.8,19.0,13.9,34459,70,17784,37019,32.6,86100,17587,9.9,2012
Marshall County,Oklahoma,75.9198161294278,40,95,25.9,11760,15774,18.3,16.0,125,15.1,581,77.2,0.4231,798,9.1,21.9,7.9,36727,28,19291,15774,36.8,79700,259,7.8,2012
Marshall County,South Dakota,80.1885868274638,46,91,10.2,3950,4631,16.4,18.3,18,17.1,506,76.8,0.4331,355,10.4,10.5,2.5,44516,0,22504,4631,39.5,88200,2,8.3,2012
Marshall County,Tennessee,75.851573899911,47,117,19.1,27297,30585,11.7,17.9,296,12.1,655,77.1,0.4364,36,8.8,15.6,12.0,40687,27,20855,30585,41.2,107800,1746,8.1,2012
Marshall County,West Virginia,76.9889597285879,54,51,16.5,32362,32993,15.6,16.4,279,13.0,485,81.5,0.4751,29,4.1,11.4,9.4,40288,153,24297,32993,46.8,83900,209,8.0,2012
Martin County,Florida,81.5922174449279,12,85,14.5,128266,146497,25.6,12.5,1266,32.2,955,84.4,0.5156,895,5.6,16.7,12.5,50573,1374,34522,146497,24.1,214300,8288,7.0,2012
Martin County,Indiana,77.261458799746,18,101,10.4,10106,10300,14.1,13.2,64,8.7,584,78.5,0.3748,18,9.8,12.5,7.9,44291,76,21992,10300,42.2,88600,20,7.3,2012
Martin County,Kentucky,72.6005125595288,21,159,31.2,11776,12934,9.6,35.7,58,7.6,491,82.0,0.4786,66,15.7,16.0,12.8,25340,3,14512,12934,41.3,77100,887,8.9,2012
Martin County,Minnesota,80.5739987635899,27,91,14.1,20202,20727,17.8,10.6,111,18.0,599,79.5,0.44,14,4.6,7.6,4.3,46790,92,26066,20727,39.2,102200,72,6.8,2012
Martin County,North Carolina,74.7909557575954,37,117,19.4,12910,24298,15.5,24.9,128,10.2,589,79.5,0.4398,84,9.9,19.4,16.0,35585,44,18812,24298,39.5,85200,10497,8.3,2012
Martin County,Texas,76.1602080761871,48,317,15.3,4153,4804,11.6,14.7,27,11.3,486,73.2,0.4556,47,22.6,27.5,6.3,41964,0,20904,4804,37.7,69600,120,8.6,2012
Martinsville City,Virginia,71.7156905562667,51,690,20.0,6803,13854,16.6,28.0,165,21.2,560,79.1,0.5039,86,9.1,16.5,15.7,28840,147,20132,13854,32.6,88300,6137,8.1,2012
Mason County,Illinois,76.7561989284825,17,125,15.4,14366,14636,17.2,17.0,61,13.8,595,80.5,0.4292,20,4.8,12.7,10.9,42394,51,23967,14636,42.0,81600,135,7.7,2012
Mason County,Kentucky,74.4527109111077,21,161,16.4,15781,17495,12.4,19.4,150,12.0,507,75.6,0.475,19,8.2,14.4,7.9,39192,20,21645,17495,40.1,99000,1244,8.4,2012
Mason County,Michigan,78.4012202129041,26,105,17.0,27367,28672,17.5,16.9,224,19.4,644,80.0,0.4206,269,4.6,13.4,11.4,40957,145,22494,28672,34.7,121500,176,7.5,2012
Mason County,Texas,79.6735224614362,48,319,17.0,3932,3978,25.2,15.8,29,28.7,444,82.2,0.4859,12,9.2,25.8,6.0,44408,0,27590,3978,24.9,162900,0,10.6,2012
Mason County,Washington,78.68263545661,53,45,19.0,52221,60545,17.8,17.4,428,19.5,839,82.3,0.4147,2016,4.7,16.1,13.9,48878,902,23682,60545,31.5,222100,797,8.5,2012
Mason County,West Virginia,74.7875180394108,54,53,20.5,26601,27242,15.5,17.3,183,11.0,543,79.9,0.4343,15,8.3,12.2,9.3,37877,0,20079,27242,45.2,82400,174,7.3,2012
Massac County,Illinois,75.4981925111284,17,127,18.6,13967,15370,16.2,16.0,135,16.3,584,79.6,0.4116,16,5.4,13.7,7.4,42190,57,21466,15370,34.6,82700,817,7.7,2012
Matagorda County,Texas,76.4344316001485,48,321,14.7,29836,36653,12.9,19.2,263,15.5,649,75.9,0.4755,123,11.7,25.4,9.8,43146,726,23079,36653,35.6,90400,4011,10.9,2012
Matanuska-Susitna Borough,Alaska,78.153605044223,2,170,11.2,76133,89319,7.8,9.9,488,18.9,1003,74.5,0.3955,4273,2.0,20.4,10.5,70728,1148,29465,89319,33.8,217700,907,8.7,2012
Mathews County,Virginia,79.1870590465327,51,115,10.6,7818,8965,25.8,8.6,105,23.7,1000,84.5,0.4193,33,3.9,9.2,4.9,55590,30,30528,8965,35.9,227800,875,8.4,2012
Maui County,Hawaii,81.3977889898364,15,9,9.9,54276,154937,11.6,10.3,1956,23.4,1293,78.9,0.4387,253,4.2,9.2,8.2,64058,40453,29493,154937,33.7,563500,579,7.8,2012
Maury County,Tennessee,76.4398780143494,47,119,15.1,68072,80965,11.4,15.8,939,17.2,654,77.1,0.4257,201,5.9,13.0,8.7,45603,487,22624,80965,39.1,136800,10051,8.4,2012
Maverick County,Texas,78.6282629812399,48,323,15.4,48983,54107,9.8,31.2,278,13.8,544,69.2,0.4692,756,27.6,36.4,10.8,30959,83,13498,54107,23.0,83300,90,11.4,2012
Mayes County,Oklahoma,74.8939454955916,40,97,19.1,28087,41162,14.4,19.3,258,11.7,597,76.3,0.4,3630,4.5,21.2,8.7,41475,172,19971,41162,41.3,94400,117,8.2,2012
McClain County,Oklahoma,76.262351816908,40,87,15.5,29385,34471,12.4,12.5,155,18.0,691,75.9,0.4041,1711,4.3,15.4,4.5,54554,187,25128,34471,38.6,126300,251,8.0,2012
McCone County,Montana,78.6150124683238,30,55,10.7,1764,1808,16.8,8.2,20,12.9,431,80.5,0.4114,2,0.0,8.5,1.5,46528,0,25683,1808,49.9,94500,0,4.1,2012
McCook County,South Dakota,78.3842511227543,46,87,10.5,5483,5592,16.2,7.8,36,21.8,582,77.2,0.4759,31,3.7,8.6,3.0,47392,15,27950,5592,41.9,92900,5,6.3,2012
McCormick County,South Carolina,76.9257917022418,45,65,17.9,4953,10140,22.3,14.1,71,17.4,511,88.1,0.4689,0,9.2,10.7,13.0,38385,20,21313,10140,30.5,113700,4947,7.7,2012
McCracken County,Kentucky,75.9825596618081,21,145,18.5,56034,65558,14.2,16.3,857,23.0,581,78.8,0.4688,187,4.4,13.2,7.5,44757,489,25884,65558,34.0,118600,6400,7.6,2012
McCreary County,Kentucky,72.6023149390992,21,147,26.7,16582,18204,10.5,30.8,80,6.1,436,81.0,0.4427,62,17.0,17.7,17.9,21758,0,12213,18204,35.9,65300,1152,9.6,2012
McCulloch County,Texas,76.2186179297477,48,307,17.9,7519,8281,16.2,21.4,26,19.5,601,76.7,0.4676,270,9.5,20.6,3.5,36560,38,21134,8281,31.0,69800,89,9.0,2012
McCurtain County,Oklahoma,73.1402536004088,40,89,23.3,22607,33144,14.4,27.1,207,12.7,536,76.0,0.4518,5697,8.9,23.7,10.7,32134,28,17601,33144,42.8,70600,2880,8.7,2012
McDonald County,Missouri,74.6923711045142,29,119,19.0,20317,22970,11.9,21.8,165,9.3,563,75.6,0.4423,589,7.0,20.5,8.5,36719,230,17429,22970,40.8,86100,211,9.0,2012
McDonough County,Illinois,79.3356685759066,17,109,10.6,29583,32568,11.8,22.3,282,35.4,675,86.2,0.4746,65,2.0,9.4,9.6,35812,737,19897,32568,29.5,86500,1654,31.1,2012
McDowell County,North Carolina,76.8854725889067,37,111,21.3,41380,44926,14.4,19.0,343,15.5,550,79.5,0.4379,132,7.1,14.9,12.7,36388,417,19537,44926,38.0,100900,1638,7.4,2012
McDowell County,West Virginia,68.8786918202501,54,47,31.8,19511,21966,14.4,33.5,102,5.4,453,82.0,0.4694,14,21.1,18.6,10.3,22972,26,13917,21966,36.7,33900,2288,8.1,2012
McDuffie County,Georgia,74.5072516293479,13,189,17.4,12564,21762,11.8,20.5,152,11.4,633,75.0,0.4439,70,8.8,20.1,10.3,38855,15,18105,21762,39.8,105000,8829,8.7,2012
McHenry County,Illinois,80.1096734909612,17,111,7.6,279509,308163,9.2,7.5,1683,33.3,1029,75.7,0.3934,550,3.0,9.0,9.8,77325,7927,32408,308163,26.2,233400,3449,8.2,2012
McHenry County,North Dakota,79.3085902382616,38,49,15.6,5340,5478,18.4,14.0,26,13.8,462,80.8,0.4556,32,8.1,13.9,4.4,41763,22,26418,5478,38.5,74200,3,6.0,2012
McIntosh County,Georgia,79.4950677588258,13,191,19.6,8569,14119,18.4,14.9,55,16.8,578,82.2,0.4259,92,9.1,25.7,10.7,39506,46,20764,14119,38.9,116500,5084,15.2,2012
McIntosh County,North Dakota,79.9178426350039,38,51,17.0,2748,2813,29.2,12.2,21,19.8,473,81.8,0.4656,8,21.5,6.8,2.7,36327,10,24134,2813,26.1,51900,5,4.4,2012
McIntosh County,Oklahoma,73.8058021127258,40,91,25.0,14249,20266,21.9,22.4,127,12.0,585,79.9,0.4309,3091,6.9,23.6,11.3,32669,50,17729,20266,41.9,77300,702,6.4,2012
McKean County,Pennsylvania,77.1131287071783,42,83,17.1,41417,43451,14.5,15.7,394,14.7,583,81.7,0.436,109,2.9,9.1,10.5,41351,217,22471,43451,49.4,73200,1044,9.4,2012
McKenzie County,North Dakota,78.1848937472895,38,53,14.0,5127,6692,12.3,13.2,30,20.5,470,77.0,0.4959,1366,7.1,18.7,3.5,61893,38,33574,6692,25.5,104400,12,9.4,2012
McKinley County,New Mexico,74.3862943232252,35,31,12.3,12146,71888,8.2,33.6,295,11.7,539,71.0,0.4874,53553,11.7,38.6,11.8,30780,506,13445,71888,33.7,81300,433,12.0,2012
McLean County,Illinois,80.0641334232381,17,113,8.9,143872,169689,9.2,14.0,1293,43.3,728,79.1,0.446,298,1.7,7.4,6.6,61049,7263,29960,169689,25.3,156600,12198,17.1,2012
McLean County,Kentucky,75.0159964761838,21,149,18.4,9393,9554,15.6,17.4,48,8.8,447,77.9,0.4285,14,8.9,12.0,8.5,40563,0,20494,9554,43.1,80300,51,7.6,2012
McLean County,North Dakota,78.7112982249689,38,55,11.9,8282,9020,20.0,10.6,33,16.0,463,82.5,0.414,665,5.7,10.4,2.5,54539,13,29016,9020,36.4,106900,2,5.4,2012
McLennan County,Texas,77.5141513405573,48,309,13.2,181949,234626,11.0,21.8,2736,22.6,756,76.4,0.4698,1129,7.9,19.3,7.4,41589,3345,21459,234626,28.2,106600,34584,14.5,2012
McLeod County,Minnesota,81.1614803230809,27,85,10.6,34931,36527,13.2,7.7,318,17.5,661,77.7,0.4045,132,4.4,9.1,5.9,55275,230,27644,36527,36.6,161000,287,8.0,2012
McMinn County,Tennessee,74.9937354012973,47,107,19.8,48638,52325,15.3,18.5,539,15.6,579,78.6,0.4336,75,8.8,14.4,10.0,38944,306,19805,52325,40.9,109800,2167,8.3,2012
McNairy County,Tennessee,73.8105896404178,47,109,20.5,23906,26001,15.9,23.5,174,10.2,544,77.7,0.4742,61,10.3,17.0,15.7,33066,56,17761,26001,47.4,88000,1462,7.8,2012
McPherson County,Kansas,78.6348894981866,20,113,11.4,28006,29208,15.7,8.1,240,25.7,609,78.4,0.4031,168,6.6,8.8,3.3,54171,208,27161,29208,32.1,121400,280,9.1,2012
McPherson County,South Dakota,80.351269005032,46,89,16.1,2463,2485,23.6,18.0,3,17.3,332,81.1,0.4415,20,17.8,8.5,1.9,36314,1,21987,2485,28.0,55300,1,6.1,2012
Meade County,Kansas,78.9529578654015,20,119,11.0,3977,4504,14.0,9.5,45,23.8,619,75.2,0.4048,6,6.2,14.5,3.8,49846,35,25644,4504,33.8,83600,41,8.6,2012
Meade County,Kentucky,76.7511220573896,21,163,15.2,26621,28979,9.8,15.7,229,11.2,760,75.0,0.3958,65,5.6,13.7,11.2,45629,222,20384,28979,41.5,111100,1244,8.7,2012
Meade County,South Dakota,78.7974123547466,46,93,13.6,23203,25456,11.0,10.9,234,21.1,650,77.4,0.4114,554,2.9,11.0,4.0,50077,199,25276,25456,34.9,160500,208,11.4,2012
Meagher County,Montana,78.111128033177,30,59,22.9,1876,1900,19.5,15.9,26,13.5,516,82.1,0.4376,5,6.6,31.0,3.7,35000,5,19006,1900,44.7,116500,0,5.6,2012
Mecklenburg County,North Carolina,79.8115219375885,37,119,8.2,537507,926873,7.5,14.5,11602,41.3,875,75.9,0.4901,3670,5.6,16.8,10.0,55961,43659,32631,926873,20.3,186100,282309,9.8,2012
Mecklenburg County,Virginia,76.1261015876199,51,117,18.7,19346,32548,18.1,21.1,279,11.4,624,82.1,0.4438,46,9.9,14.0,9.3,35399,237,19795,32548,37.6,124000,11968,8.3,2012
Mecosta County,Michigan,79.0432161301943,26,107,15.4,40189,42947,13.8,22.9,437,21.5,668,82.2,0.4302,163,3.5,14.2,15.4,38332,332,19184,42947,36.1,112500,1223,22.1,2012
Medina County,Ohio,80.0747485402658,39,103,9.8,165340,172334,12.1,7.3,1385,31.4,819,77.1,0.4001,227,1.5,7.7,6.4,65768,1587,30749,172334,32.6,182700,2117,7.3,2012
Medina County,Texas,78.6718901921122,48,325,15.8,41052,46009,12.2,17.9,139,19.3,678,78.0,0.4325,219,9.7,18.5,8.5,52206,258,21786,46009,29.3,109800,1267,10.9,2012
Meeker County,Minnesota,80.4788013656933,27,93,11.7,22725,23262,15.1,10.6,159,14.5,683,77.5,0.3879,62,3.6,8.7,7.7,52705,77,25139,23262,40.5,161500,57,7.6,2012
Meigs County,Ohio,75.3297132790251,39,105,19.4,23099,23664,14.0,21.6,168,9.7,540,79.2,0.4187,34,4.8,15.6,14.1,34704,34,18425,23664,49.0,83800,316,8.3,2012
Meigs County,Tennessee,73.2916972780979,47,121,30.1,11199,11696,15.9,23.3,26,6.5,630,81.5,0.4339,0,9.3,17.6,15.8,33492,0,19455,11696,48.6,99300,195,7.4,2012
Mellette County,South Dakota,72.9335074430473,46,95,17.5,778,2057,12.7,41.1,24,10.5,421,68.8,0.4547,1186,7.7,18.5,16.9,35563,0,14614,2057,31.3,50900,0,7.4,2012
Menard County,Illinois,78.5152034041841,17,129,12.2,12394,12728,14.1,9.3,48,20.1,632,78.7,0.3837,6,2.2,7.4,4.9,59428,46,27577,12728,37.5,116800,116,7.6,2012
Menard County,Texas,78.149977058699,48,327,26.5,2108,2232,23.6,20.5,21,22.4,518,75.4,0.5125,9,8.7,26.3,9.7,35048,0,20754,2232,30.0,62100,25,6.2,2012
Mendocino County,California,78.5047347417068,6,45,16.0,72842,87577,14.6,19.4,1000,20.0,954,79.6,0.4452,4200,7.8,18.8,11.4,43721,1583,23179,87577,28.7,353400,804,9.2,2012
Menifee County,Kentucky,74.4094075459957,21,165,26.3,6120,6331,12.7,31.0,39,9.3,491,82.3,0.4645,14,20.8,17.4,15.2,25988,7,14853,6331,39.3,68800,72,10.0,2012
Menominee County,Michigan,79.4912248159917,26,109,16.1,22909,24041,17.7,14.7,116,14.3,499,81.4,0.4068,454,3.9,11.7,12.1,40865,44,21816,24041,44.1,96700,50,6.6,2012
Menominee County,Wisconsin,73.5079768339417,55,78,15.4,595,4274,13.0,23.2,6,8.9,517,71.9,0.4242,3289,4.7,32.9,19.5,37644,146,14479,4274,43.5,86900,35,11.2,2012
Merced County,California,78.7733024594045,6,47,14.7,173461,256398,8.3,24.6,2463,12.2,832,71.7,0.4652,2622,21.8,19.0,16.1,43565,19278,18343,256398,25.5,161600,9794,12.3,2012
Mercer County,Illinois,78.9615382858566,17,131,11.8,16058,16421,16.6,10.4,96,13.0,583,79.5,0.3925,19,2.4,7.5,5.6,52700,45,26468,16421,41.9,95100,87,7.3,2012
Mercer County,Kentucky,75.6375088727127,21,167,18.7,20052,21283,14.6,16.6,155,18.2,523,78.8,0.4565,0,9.1,13.7,13.2,44431,27,23294,21283,42.6,125600,761,7.9,2012
Mercer County,Missouri,78.2631362708184,29,129,16.8,3695,3763,18.4,16.6,30,12.3,494,77.8,0.4245,2,6.4,13.6,8.9,38125,22,20633,3763,54.5,72000,19,6.7,2012
Mercer County,New Jersey,80.0233821985812,34,21,10.1,232853,366442,10.8,10.8,3726,39.2,1106,79.2,0.4772,1030,6.0,11.0,10.2,73759,32978,37246,366442,25.6,293100,73852,11.3,2012
Mercer County,North Dakota,79.8191746033594,38,57,12.2,8070,8400,13.7,7.2,45,19.0,511,80.5,0.4035,171,6.3,7.8,4.5,63244,20,31331,8400,31.3,114800,73,5.8,2012
Mercer County,Ohio,79.1522705868227,39,107,11.3,39995,40866,13.5,8.2,247,16.0,667,76.7,0.3785,44,1.9,7.3,7.1,52234,238,23371,40866,50.7,123800,112,8.2,2012
Mercer County,Pennsylvania,77.7995596600875,42,85,15.9,106816,116474,15.9,13.2,1016,21.0,598,80.9,0.4211,115,4.5,9.6,9.2,43589,821,22395,116474,43.3,103700,6397,10.1,2012
Mercer County,West Virginia,73.3157738717762,54,55,24.8,57036,62251,16.0,20.4,377,15.5,549,80.1,0.4621,223,9.2,15.5,6.0,34517,370,20201,62251,39.6,77300,3566,9.2,2012
Meriwether County,Georgia,74.9788050638371,13,199,17.4,12810,21966,14.4,17.3,140,8.2,662,78.3,0.4285,47,10.6,21.2,14.2,37660,29,18999,21966,41.1,93900,8823,9.1,2012
Merrick County,Nebraska,79.54585346505,31,121,15.4,7562,7779,16.5,12.2,67,12.7,539,78.9,0.4203,42,4.4,10.3,6.4,49609,10,23865,7779,42.4,84200,41,6.7,2012
Merrimack County,New Hampshire,79.8562550868339,33,13,11.9,140170,146742,12.1,8.9,1579,31.7,915,80.2,0.4126,248,2.1,9.5,6.3,65487,2249,31355,146742,30.0,237500,1517,9.4,2012
Mesa County,Colorado,78.7344198151753,8,77,12.4,132245,146562,13.5,13.4,1256,24.4,848,78.4,0.4424,1584,3.5,16.8,7.8,51029,970,27030,146562,31.8,216600,956,10.3,2012
Metcalfe County,Kentucky,74.2303398111707,21,169,20.7,9707,10074,15.1,16.1,43,7.1,525,78.9,0.4278,0,17.0,19.2,7.5,34100,0,17347,10074,45.5,80300,189,8.2,2012
Miami County,Indiana,77.2333003462506,18,103,17.2,33723,36850,11.8,18.2,279,9.8,618,81.0,0.4083,370,4.7,13.8,13.5,39816,71,19388,36850,43.8,84200,1740,9.5,2012
Miami County,Kansas,78.9959941157408,20,121,12.0,31166,32546,11.9,9.0,160,22.1,721,75.2,0.3957,115,1.9,9.6,7.1,61272,33,28019,32546,34.4,163200,425,7.0,2012
Miami County,Ohio,78.2726700208534,39,109,12.5,97118,102657,13.8,12.3,672,21.8,700,78.0,0.4054,141,2.6,10.7,8.3,52292,1239,25653,102657,37.5,138900,2324,7.9,2012
Miami-Dade County,Florida,81.0153198340328,12,86,10.4,1881017,2512219,12.2,19.1,30959,26.8,1071,79.9,0.5129,3843,11.1,29.8,11.2,43464,40005,23304,2512219,28.3,221900,477618,10.4,2012
Middlesex County,Connecticut,81.2585082923244,9,7,9.3,147872,165639,13.8,5.9,1013,39.2,1005,80.7,0.4337,126,2.0,7.3,6.8,76659,4430,39776,165639,29.1,299600,7618,8.3,2012
Middlesex County,Massachusetts,81.915128298657,25,17,8.9,1216987,1507558,11.3,7.9,18961,51.1,1268,80.4,0.4665,1927,3.6,3.7,6.8,81420,142527,42289,1507558,22.0,401300,69773,9.9,2012
Middlesex County,New Jersey,81.3681767769669,34,23,8.3,509495,811064,10.6,8.0,7524,41.1,1245,79.1,0.4168,1440,5.1,12.9,8.4,79442,176635,34494,811064,26.8,340000,76560,10.7,2012
Middlesex County,Virginia,78.3131738130415,51,119,15.9,8647,10855,24.5,8.2,37,28.7,741,86.4,0.4435,31,4.3,9.3,5.4,55625,0,31947,10855,30.0,260300,2146,7.3,2012
Midland County,Michigan,80.4787488364551,26,111,12.8,78843,83744,13.0,12.2,687,34.0,696,78.9,0.4639,326,2.8,9.5,8.3,52947,1728,29564,83744,28.9,130200,1073,10.0,2012
Midland County,Texas,78.5140517586289,48,329,13.4,117967,138472,9.4,9.8,1305,24.7,899,74.1,0.4882,753,8.4,21.4,4.1,59391,1944,32223,138472,24.2,141100,9249,10.3,2012
Mifflin County,Pennsylvania,78.4229411109851,42,87,17.3,45674,46694,16.5,15.3,418,11.4,585,78.0,0.4097,31,7.9,16.2,8.8,38671,137,20164,46694,52.0,95900,315,7.8,2012
Milam County,Texas,76.706710672346,48,331,21.1,20704,24691,16.1,19.1,184,13.6,625,76.5,0.4598,258,10.2,19.0,9.1,39170,56,21605,24691,40.6,85000,2291,6.9,2012
Millard County,Utah,79.2474141162396,49,27,11.1,11646,12436,13.4,12.9,49,21.4,591,72.5,0.3999,124,7.0,20.1,6.9,47235,18,19849,12436,27.0,129500,88,8.0,2012
Mille Lacs County,Minnesota,77.8595610600473,27,95,13.6,23725,26004,14.2,14.0,190,15.0,646,77.3,0.4005,1502,4.0,10.7,9.4,46363,115,22146,26004,41.3,153900,121,7.6,2012
