County,State,mean_life_expectancy,State_FIPS,County_FIPS,Poverty Rate,High School Degree or Higher (%),Black Population,Total Families,Bachelor's Degree or Higher (%),Median Age,Gini Index,Rent Denominator,Disability Rate,White Population,Total Population,Rent Burden Count (+50%),Hispanic Population,No Vehicle (Owner),Median Household Income,Total Families (Single Mother),Total Occupied Households,Unemployment Rate,No Vehicle (Renter),Year
Hinds County,Mississippi,75.362385819334,28,49,24.2,83.4,170031,58071,25.5,33.0,0.489,35557,13.3,70718,246335,10366,3681,1650,38152,11925,88197,10.7,5433,2012
Holmes County,Mississippi,71.9232683298895,28,51,42.6,64.3,16040,4254,10.1,32.2,0.4952,1881,15.5,3069,19207,298,19,549,22335,1108,6604,18.5,377,2012
Humphreys County,Mississippi,72.0675561111665,28,53,41.2,64.5,7130,2094,8.0,35.1,0.4645,1359,17.1,2186,9399,313,205,189,24783,345,3159,21.3,369,2012
Issaquena County,Mississippi,74.5426672391706,28,55,30.1,56.3,1033,301,5.9,40.2,0.5362,126,21.7,523,1556,31,5,17,24474,43,488,26.8,45,2012
Itawamba County,Mississippi,74.3044966571555,28,57,13.8,74.1,1501,6513,13.8,39.1,0.4209,1874,19.0,21619,23362,338,304,187,36235,386,8897,8.4,172,2012
Jackson County,Mississippi,75.7582236528168,28,59,15.4,84.7,30122,35125,19.0,37.0,0.4504,14300,16.8,102171,139430,3349,6365,668,49750,4252,50180,9.8,1223,2012
Jasper County,Mississippi,74.8617206278972,28,61,21.1,72.9,8795,4606,12.9,41.2,0.5064,1365,23.4,7976,17033,165,240,456,30998,917,6891,7.8,189,2012
Jefferson County,Mississippi,74.1052753753111,28,63,41.1,75.5,6674,1634,12.4,38.6,0.4785,784,13.9,1063,7743,173,6,175,20281,332,2578,16.2,141,2012
Jefferson Davis County,Mississippi,73.4801352356967,28,65,26.5,73.0,7480,3320,12.4,41.4,0.502,901,19.9,4793,12364,150,23,306,27201,571,4851,13.4,181,2012
Jones County,Mississippi,74.8492837172287,28,67,24.0,76.7,19124,17833,15.7,36.8,0.4781,6571,18.4,46504,67868,1286,3157,666,38233,2189,24657,6.7,776,2012
Kemper County,Mississippi,76.6139178601463,28,69,28.0,73.2,6193,2445,10.7,37.4,0.4615,837,21.9,3729,10391,129,158,280,27471,347,3786,12.7,267,2012
Lafayette County,Mississippi,76.8839193758677,28,71,23.5,85.1,11560,9141,39.1,27.3,0.5087,5759,11.0,33938,47586,1857,1054,236,42688,1082,15301,9.6,559,2012
Lamar County,Mississippi,78.2012330825903,28,73,17.6,89.2,10700,14871,31.9,33.1,0.4861,7085,12.7,43044,55580,2028,1184,330,50743,1866,21473,6.4,632,2012
Lauderdale County,Mississippi,74.5680905619107,28,75,23.4,81.2,33906,20376,17.9,36.9,0.4896,9807,18.2,44540,80204,2344,1475,597,36814,3963,29715,10.7,1709,2012
Lawrence County,Mississippi,73.3946616044835,28,77,18.7,82.1,4259,3413,11.9,40.1,0.4503,959,18.7,8471,12832,74,45,290,38364,284,4825,10.1,74,2012
Leake County,Mississippi,73.7737758037004,28,79,26.9,72.8,9596,5716,8.0,32.7,0.4586,1928,19.4,12300,23563,262,1008,390,30862,939,7977,11.5,265,2012
Lee County,Mississippi,74.4914075220446,28,81,18.3,81.7,22819,22656,22.4,35.9,0.4667,9790,15.0,58188,83235,2001,1994,665,41242,3790,31759,7.2,1096,2012
Leflore County,Mississippi,72.304525691433,28,83,39.3,66.7,23049,7053,14.4,32.5,0.51,5401,11.1,8339,32196,1420,763,457,23659,1950,10942,18.1,1056,2012
Lincoln County,Mississippi,73.9173782424879,28,85,21.6,79.7,10634,9708,15.1,37.5,0.4672,3064,16.9,23931,34850,381,342,257,37176,1241,13184,7.6,388,2012
Lowndes County,Mississippi,75.6798221159382,28,87,25.7,83.1,26040,15628,19.2,36.2,0.4969,8667,15.6,32362,59584,2201,921,511,37508,2303,23429,12.9,1584,2012
Madison County,Mississippi,75.0658421656971,28,89,13.6,87.9,36495,24711,47.0,36.1,0.4894,10698,10.2,55027,95481,2303,2712,605,60195,2909,35774,6.5,1042,2012
Marion County,Mississippi,72.3672129789502,28,91,25.7,73.8,8806,7007,14.1,37.8,0.4896,2147,21.4,17722,26810,452,340,414,31865,783,9786,10.5,369,2012
Marshall County,Mississippi,73.6839495784972,28,93,23.7,65.1,17587,9275,8.7,38.5,0.4569,2722,17.4,18414,37019,749,1157,507,34459,1120,13019,13.9,492,2012
Monroe County,Mississippi,75.3896987999572,28,95,20.9,77.4,11428,10536,13.4,39.2,0.4362,3239,17.3,25113,36912,414,353,543,35370,1350,14393,10.5,617,2012
Montgomery County,Mississippi,73.2235557899674,28,97,32.5,75.7,5086,2852,11.4,41.1,0.4488,1128,17.0,5720,10866,257,0,100,30440,532,4216,11.4,229,2012
Neshoba County,Mississippi,72.4680532068538,28,99,22.2,75.1,6191,7514,11.6,35.3,0.457,2691,20.1,18160,29682,465,507,442,37893,1189,10614,11.5,272,2012
Newton County,Mississippi,74.0038911339712,28,101,19.3,83.0,6684,5937,12.9,37.8,0.421,1724,20.8,13698,21687,235,303,249,35907,653,7977,8.7,197,2012
Noxubee County,Mississippi,74.8873666635809,28,103,36.2,59.8,8274,2866,9.2,36.5,0.4637,1237,19.8,3211,11511,313,93,241,22652,698,4173,20.4,256,2012
Oktibbeha County,Mississippi,77.884352619943,28,105,34.2,85.2,17514,9983,42.6,25.2,0.5383,9227,12.9,27899,47486,3627,702,530,29430,1661,18482,13.7,714,2012
Panola County,Mississippi,73.0636638021437,28,107,27.2,70.5,17152,8161,13.6,36.0,0.4449,2872,17.7,16964,34675,697,505,530,36147,1399,12078,12.7,503,2012
Pearl River County,Mississippi,74.1966864806776,28,109,21.8,80.7,7106,15030,15.2,39.2,0.4462,4540,18.2,47236,55886,969,1633,618,41940,1805,20519,10.6,457,2012
Perry County,Mississippi,73.969393935945,28,111,20.5,78.3,2719,3526,4.6,39.4,0.4246,635,25.0,9462,12217,147,0,253,35942,414,4629,9.5,53,2012
Pike County,Mississippi,72.9279106734417,28,113,26.2,75.7,20836,10085,16.6,37.1,0.4955,4457,17.5,18805,40300,828,505,495,35212,1529,14867,8.2,941,2012
Pontotoc County,Mississippi,76.5523869166335,28,115,15.6,70.9,4257,7100,11.1,36.0,0.4114,2098,17.8,23956,29962,314,1780,214,40260,712,9962,7.5,200,2012
Prentiss County,Mississippi,75.0938764841629,28,117,24.3,67.9,3365,7077,8.7,38.7,0.4577,2275,21.7,21419,25384,464,308,273,33294,682,9673,12.6,531,2012
Quitman County,Mississippi,71.2682035101836,28,119,37.8,61.1,5700,2060,10.8,38.5,0.4726,1069,18.7,2438,8171,275,67,112,23115,411,3155,16.9,287,2012
Rankin County,Mississippi,78.3923354580783,28,121,11.4,85.7,27012,38785,28.5,36.2,0.4169,12875,13.3,110726,142136,2660,3662,658,57593,4192,52870,5.9,1180,2012
Scott County,Mississippi,74.2350540836512,28,123,22.3,69.4,10732,6814,9.9,35.0,0.4405,1882,19.8,16298,28207,292,2923,532,35074,899,9765,8.2,400,2012
Sharkey County,Mississippi,73.146218541574,28,125,35.8,71.5,3442,1112,12.5,38.2,0.4337,603,22.9,1378,4835,109,33,146,32340,183,1663,22.1,99,2012
Simpson County,Mississippi,74.091609255834,28,127,22.3,75.3,9673,7009,13.4,38.1,0.428,2322,16.8,17386,27476,212,417,303,37977,886,9979,11.4,283,2012
Smith County,Mississippi,75.0755200065712,28,129,22.6,76.5,3924,4693,13.0,39.2,0.4967,923,21.4,12331,16425,81,203,139,36519,703,6244,7.3,200,2012
Stone County,Mississippi,74.1102201641438,28,131,18.2,80.7,3419,4303,11.9,35.5,0.5023,1062,15.0,13901,17657,258,247,55,42862,483,5873,13.3,213,2012
Sunflower County,Mississippi,71.3201905399104,28,133,34.7,65.6,21330,5848,7.8,33.4,0.5064,3537,12.3,7545,29230,768,405,284,26611,1217,8369,21.0,768,2012
Tallahatchie County,Mississippi,73.5523062826213,28,135,32.2,59.2,8200,3201,4.7,35.4,0.4546,1239,16.6,6787,15262,223,1344,286,27689,689,4637,19.5,397,2012
Tate County,Mississippi,75.0712870252361,28,137,17.4,80.8,8795,7063,15.2,36.2,0.4442,2766,16.7,19229,28580,480,638,238,43277,830,10003,9.8,298,2012
Tippah County,Mississippi,73.6305178123761,28,139,23.4,74.1,3263,6287,8.7,38.1,0.4729,1847,22.6,17843,22095,298,992,363,34523,748,8495,14.1,173,2012
Tishomingo County,Mississippi,73.3618354447481,28,141,18.4,74.1,629,5512,10.6,42.5,0.4377,1628,20.9,18569,19573,335,552,248,32878,544,7569,10.4,178,2012
Tunica County,Mississippi,71.4614225899225,28,143,30.3,70.9,7828,2390,11.2,32.2,0.4528,2200,14.0,2612,10716,562,239,144,30463,651,4081,10.9,248,2012
Union County,Mississippi,76.1809662402221,28,145,24.5,72.3,3710,7704,14.3,37.1,0.4663,2776,17.4,22420,27175,546,1188,153,36582,854,10286,8.8,329,2012
Walthall County,Mississippi,74.1005243287793,28,147,26.9,67.8,7124,3706,12.1,36.8,0.4952,1005,22.5,8112,15405,135,238,265,32260,392,5466,9.7,169,2012
Warren County,Mississippi,74.3112233852951,28,149,23.0,79.9,22713,12156,24.8,37.9,0.4792,6406,13.1,24565,48419,1424,925,424,40876,2081,18702,8.3,1041,2012
Washington County,Mississippi,71.6376808123338,28,151,37.5,72.3,36184,12553,17.1,35.2,0.5007,8364,23.9,13841,51010,2449,565,615,27610,2884,18395,20.9,1952,2012
Wayne County,Mississippi,74.571734755432,28,153,28.8,72.0,8083,5879,7.5,37.5,0.4889,1305,22.6,12458,20754,281,252,364,30783,650,8296,11.1,167,2012
Webster County,Mississippi,73.4398006781518,28,155,24.6,75.8,1985,3030,16.1,40.5,0.466,1061,20.8,7997,10162,260,113,156,35391,368,4032,12.0,144,2012
Wilkinson County,Mississippi,72.4918130848483,28,157,23.3,68.7,6897,2367,7.1,36.2,0.493,856,25.7,2870,9778,168,43,213,35960,380,3497,14.4,258,2012
Winston County,Mississippi,74.9097860616485,28,159,26.5,78.9,9076,4966,15.5,39.4,0.4603,1894,19.1,9995,19160,482,183,284,32094,622,7441,14.8,494,2012
Yalobusha County,Mississippi,73.0263237411266,28,161,19.8,78.7,4887,3253,16.1,40.2,0.4491,1238,22.3,7651,12647,256,159,162,32343,378,4716,9.4,257,2012
Yazoo County,Mississippi,73.6661031312889,28,163,34.3,71.4,15924,5991,12.1,35.4,0.4849,3410,23.2,11032,28220,829,1393,311,26769,1458,8656,19.8,709,2012
Adair County,Missouri,77.8202009710449,29,1,24.7,88.1,492,5476,25.4,29.1,0.4825,3660,12.7,24094,25542,1377,540,230,33284,471,9597,7.1,654,2012
Andrew County,Missouri,78.8942198496664,29,3,7.5,91.0,110,4887,19.0,41.9,0.3856,1420,13.0,16729,17205,221,294,142,57406,225,6698,5.9,140,2012
Atchison County,Missouri,77.9463481376181,29,5,10.2,89.5,62,1553,21.2,46.1,0.4195,717,17.2,5539,5664,35,56,45,46059,76,2447,5.5,89,2012
Audrain County,Missouri,76.9674963047955,29,7,16.3,84.5,1633,6348,12.6,38.6,0.3972,2436,16.1,22984,25617,299,659,285,41387,470,9275,7.7,489,2012
Barry County,Missouri,75.9967671646569,29,9,18.0,79.9,10,9481,12.4,41.8,0.4117,3352,18.0,32853,35680,511,2776,146,38153,655,13656,11.2,338,2012
Barton County,Missouri,77.3720948220371,29,11,19.4,84.1,13,3485,15.4,40.5,0.4294,1165,17.3,11794,12428,208,242,117,39576,197,4932,7.3,237,2012
Bates County,Missouri,76.2341305391455,29,13,17.0,81.3,71,4512,10.9,41.5,0.4192,1712,18.6,16364,17003,244,289,154,39371,331,6733,7.8,247,2012
Benton County,Missouri,76.1539247847998,29,15,18.6,84.2,35,5516,12.0,51.5,0.4398,1231,22.1,18473,19021,224,295,286,33349,297,8085,7.7,198,2012
Bollinger County,Missouri,76.6555888183435,29,17,19.3,78.4,73,3419,8.9,42.5,0.4325,902,24.9,12158,12389,198,101,234,37016,195,4803,6.3,96,2012
Boone County,Missouri,80.150735224181,29,19,19.5,93.1,14314,36702,48.3,29.6,0.482,27393,9.9,134707,163266,8498,4919,722,47786,4142,64577,6.4,2973,2012
Buchanan County,Missouri,76.2863393493383,29,21,16.5,84.6,4021,21209,18.7,36.6,0.4333,11509,15.0,79999,89162,2513,4687,693,44181,2442,33582,8.0,2163,2012
Butler County,Missouri,73.9277527012454,29,23,20.6,77.9,2343,11245,13.4,40.6,0.4588,5640,22.5,38789,42792,1326,678,384,34343,1378,17067,8.0,1035,2012
Caldwell County,Missouri,76.9590391052894,29,25,14.9,87.5,65,2687,11.1,41.7,0.4261,1000,15.0,9022,9302,190,144,64,41324,273,3732,6.4,98,2012
Callaway County,Missouri,77.8257751986466,29,27,11.7,83.3,1823,11563,22.5,37.6,0.4102,3669,14.4,40661,44157,624,726,265,50516,1195,16828,6.1,535,2012
Camden County,Missouri,79.0987130168409,29,29,13.9,89.0,174,12383,20.2,48.7,0.4163,3502,19.3,42433,43731,757,1007,289,44577,964,17620,8.3,352,2012
Cape Girardeau County,Missouri,78.1133440329691,29,31,15.9,87.8,5342,19551,27.5,36.3,0.4386,9499,13.7,67708,75690,2474,1514,541,46154,2203,29502,7.2,1423,2012
Carroll County,Missouri,76.9009915910591,29,33,13.1,82.8,169,2523,16.1,41.8,0.4814,754,15.2,8950,9279,137,119,73,44858,186,3659,6.9,110,2012
Carter County,Missouri,73.923959108306,29,35,27.2,79.1,42,1571,12.9,40.3,0.4609,621,20.9,5984,6225,55,52,74,27209,144,2432,12.8,88,2012
Cass County,Missouri,78.2929211008241,29,37,8.4,91.7,3291,27662,21.2,38.3,0.3814,8132,11.6,91569,99394,1677,3937,419,60595,2692,37220,6.5,675,2012
Cedar County,Missouri,75.9562542902049,29,39,20.2,85.6,29,3995,14.4,44.6,0.4155,1548,22.2,13515,13941,339,215,150,31677,320,6061,8.6,219,2012
Chariton County,Missouri,78.4187970946659,29,41,15.8,82.7,193,2023,10.5,45.3,0.4016,647,18.2,7497,7759,76,44,77,40538,160,3011,4.9,85,2012
Christian County,Missouri,79.3627871876897,29,43,10.1,91.5,467,22469,27.5,36.7,0.3972,7531,11.1,74303,77474,1519,1965,330,53549,1529,29360,7.0,529,2012
Clark County,Missouri,77.0405441134654,29,45,16.6,83.3,45,1790,9.1,43.1,0.4095,642,18.0,6915,7082,37,35,48,40466,120,2781,5.1,85,2012
Clay County,Missouri,79.2560446185256,29,47,8.3,91.9,11132,59033,31.1,36.4,0.3982,24652,10.8,196357,222048,4508,13118,1104,60560,6041,86701,6.4,2689,2012
Clinton County,Missouri,76.5026058852434,29,49,9.8,90.1,292,5735,17.1,40.6,0.3813,2121,12.6,19817,20687,354,336,106,53234,559,8031,8.8,145,2012
Cole County,Missouri,78.9126119830295,29,51,11.6,88.2,8582,19607,30.3,37.8,0.4128,9784,13.1,63671,75813,1381,1811,361,55465,2534,29556,5.1,1576,2012
Cooper County,Missouri,77.674850621175,29,53,17.8,82.6,989,4535,15.9,37.6,0.4455,1774,13.1,15775,17542,261,238,179,45200,422,6508,8.2,318,2012
Crawford County,Missouri,75.8516557988888,29,55,19.0,77.7,44,6435,11.1,40.2,0.4127,2354,17.5,24225,24753,599,377,210,35794,633,9600,10.7,409,2012
Dade County,Missouri,76.5910009477093,29,57,20.3,84.3,54,2133,10.6,46.3,0.4562,726,18.1,7496,7811,121,119,50,34000,221,3144,8.7,87,2012
Dallas County,Missouri,76.8649791911927,29,59,20.8,75.9,23,4771,14.3,41.7,0.3993,1292,18.0,16206,16825,149,268,202,40286,392,6532,13.4,272,2012
Daviess County,Missouri,77.3108621369672,29,61,14.3,82.5,33,2233,15.5,40.3,0.4203,703,13.5,8143,8341,109,90,137,42617,128,3078,6.4,67,2012
DeKalb County,Missouri,77.7510156011821,29,63,8.3,80.2,1126,2576,7.2,40.2,0.3943,1283,20.5,11175,12878,159,227,52,43898,114,3823,6.8,283,2012
Dent County,Missouri,75.9731840503418,29,65,19.4,79.3,52,4195,11.2,42.9,0.4242,1473,25.2,15034,15595,291,157,181,36288,381,5927,10.3,314,2012
Douglas County,Missouri,76.9924728618042,29,67,24.1,80.5,9,3625,8.9,44.9,0.4311,1152,20.5,13475,13690,189,115,62,31277,241,5077,10.4,95,2012
Dunklin County,Missouri,72.1824771198109,29,69,25.5,69.0,3183,8203,10.1,39.5,0.4632,4931,23.6,27972,31970,849,1751,371,30379,1262,12664,10.3,939,2012
Franklin County,Missouri,77.0222983379519,29,71,12.9,86.6,1270,27422,16.5,39.4,0.4268,9263,12.3,98448,101440,1663,1406,748,48322,2398,39038,8.5,1164,2012
Gasconade County,Missouri,77.0749297543685,29,73,13.6,83.2,47,4197,15.4,45.1,0.4151,1394,18.1,14841,15160,263,161,152,41304,432,6310,9.6,164,2012
Gentry County,Missouri,77.7995567008037,29,75,17.7,82.6,38,1826,12.2,42.1,0.4142,716,16.7,6657,6773,70,39,56,38465,168,2751,7.2,90,2012
Greene County,Missouri,77.872626738145,29,77,17.9,89.5,7760,69860,28.2,35.6,0.4544,46118,13.4,252247,275671,10735,8302,1545,41458,7625,114944,8.0,5920,2012
Grundy County,Missouri,77.2515417704075,29,79,12.6,86.6,92,2641,12.1,41.8,0.397,1178,15.2,9956,10256,220,123,118,37533,222,4181,6.0,199,2012
Harrison County,Missouri,77.5130002914138,29,81,14.1,84.1,63,2353,8.5,42.6,0.4161,933,16.7,8706,8901,88,144,73,36909,86,3620,8.4,115,2012
Henry County,Missouri,75.7034684721707,29,83,17.1,84.1,267,6180,15.2,43.9,0.4613,2749,20.3,21459,22234,406,378,215,39551,634,9548,8.4,330,2012
Hickory County,Missouri,77.113889480288,29,85,17.5,83.6,36,2850,7.5,52.7,0.4132,696,28.6,8824,9554,112,99,88,29400,154,4259,14.2,129,2012
Holt County,Missouri,79.0077230505634,29,87,14.7,89.1,34,1468,12.9,46.1,0.4125,552,16.0,4709,4840,63,12,39,42706,104,2233,4.7,66,2012
Howard County,Missouri,78.3150239409584,29,89,16.1,83.2,537,2527,18.7,39.7,0.4628,941,15.2,9342,10160,185,127,105,42104,241,3826,6.7,230,2012
Howell County,Missouri,75.3878376216904,29,91,20.6,82.2,136,10824,13.9,39.6,0.4341,4638,18.5,39042,40330,979,698,330,34148,1038,15606,8.1,852,2012
Iron County,Missouri,73.5293163846534,29,93,25.6,72.5,121,2831,10.8,42.8,0.4375,1132,30.3,10191,10563,280,131,172,33333,242,4208,13.7,252,2012
Jackson County,Missouri,76.9233247635548,29,95,17.0,87.2,160256,164788,27.6,36.2,0.4586,103501,12.7,453515,672784,27333,55470,5769,47023,24846,270645,9.7,20859,2012
Jasper County,Missouri,76.0418425884253,29,97,18.9,82.0,2263,29878,19.8,35.1,0.4455,15689,15.7,106370,116493,3636,7891,692,39908,4246,45005,8.7,2631,2012
Jefferson County,Missouri,76.4558554806763,29,99,10.5,86.9,1525,59344,16.1,37.7,0.3816,13818,13.5,211034,218628,2472,3443,1524,55743,5111,81159,8.8,1714,2012
Johnson County,Missouri,78.0235716916098,29,101,16.6,90.1,2374,13158,23.3,29.7,0.403,7379,11.2,47784,52964,1694,1687,216,47960,1150,19765,7.9,681,2012
Knox County,Missouri,77.0634269108704,29,103,22.8,85.7,25,1111,15.7,43.9,0.5128,468,19.7,3995,4111,65,16,76,32500,61,1806,7.6,33,2012
Laclede County,Missouri,76.0707424811822,29,105,18.5,80.5,234,10250,13.5,39.1,0.4219,4073,17.6,34130,35507,753,707,273,39101,1171,14169,9.3,616,2012
Lafayette County,Missouri,77.3224636066542,29,107,10.0,86.0,865,9526,17.3,40.3,0.3645,3255,13.7,31472,33278,401,740,135,51917,948,13250,6.0,477,2012
Lawrence County,Missouri,76.3281782627809,29,109,17.4,84.6,125,10346,15.6,39.3,0.428,4062,15.7,36699,38559,675,2420,361,38568,908,14907,8.9,436,2012
Lewis County,Missouri,77.1682749004064,29,111,15.2,87.4,306,2688,10.8,38.7,0.3936,1009,13.1,9657,10203,90,157,112,41758,204,3882,7.8,129,2012
Lincoln County,Missouri,76.9381476732127,29,113,13.7,83.9,1110,13662,10.9,35.6,0.378,3607,15.4,49836,52637,897,1057,223,53822,1178,18664,12.4,622,2012
Linn County,Missouri,76.1533431762233,29,115,13.4,89.4,75,3132,12.2,43.0,0.4563,1206,17.6,12292,12668,265,196,128,39028,229,4873,6.7,257,2012
Livingston County,Missouri,77.2208792317718,29,117,18.1,87.7,385,3644,22.8,41.5,0.4216,1612,14.5,14404,15068,355,181,127,42241,361,5549,5.8,203,2012
McDonald County,Missouri,74.6923711045142,29,119,21.8,79.3,211,5752,9.3,36.5,0.4423,2578,19.0,20317,22970,423,2542,208,36719,580,8257,8.5,306,2012
Macon County,Missouri,77.3166237914343,29,121,14.3,85.4,420,4141,14.2,42.1,0.421,1476,13.8,14798,15532,248,158,184,37405,366,6366,6.1,174,2012
Madison County,Missouri,74.2415470845918,29,123,18.6,73.9,21,3427,8.3,41.2,0.3884,1077,23.4,12003,12334,136,233,161,36197,264,4783,13.2,201,2012
Maries County,Missouri,77.4919511331899,29,125,14.3,85.9,76,2708,12.1,43.1,0.3987,759,18.9,8874,9140,178,83,41,44885,198,3696,10.1,70,2012
Marion County,Missouri,76.9657541086513,29,127,15.5,83.0,1676,7530,18.6,39.3,0.4536,3396,14.0,26349,28703,648,396,235,42756,918,11180,6.2,587,2012
Mercer County,Missouri,78.2631362708184,29,129,16.6,85.6,19,1039,12.3,43.7,0.4245,356,16.8,3695,3763,28,39,58,38125,88,1566,8.9,79,2012
Miller County,Missouri,76.6152368323339,29,131,19.3,84.2,168,6863,15.3,40.3,0.4367,2518,19.6,24012,24822,365,364,176,34763,685,10188,8.3,423,2012
Mississippi County,Missouri,73.338863726563,29,133,22.9,71.8,3405,3246,10.8,39.8,0.4382,1822,24.3,10602,14231,459,239,200,29606,447,5261,12.0,575,2012
Moniteau County,Missouri,78.0130596341383,29,135,11.2,76.6,709,3881,16.2,37.4,0.3885,1402,15.7,14198,15587,225,616,178,49394,232,5506,5.8,114,2012
Monroe County,Missouri,78.7046889141938,29,137,14.2,85.9,307,2461,12.9,44.0,0.3792,840,14.8,8425,8876,66,85,70,40707,207,3550,7.1,136,2012
Montgomery County,Missouri,76.1475671979084,29,139,17.2,78.6,96,3564,9.0,42.9,0.4061,1265,18.4,11712,12181,260,174,97,40565,354,5072,10.9,147,2012
Morgan County,Missouri,75.6836865368469,29,141,20.6,79.2,144,5606,13.2,47.0,0.4135,1431,21.1,19810,20479,299,358,391,35446,298,8243,13.9,266,2012
New Madrid County,Missouri,73.3750642175587,29,143,21.9,77.3,2954,5043,9.7,39.7,0.4879,2791,22.6,15379,18780,396,224,184,35174,832,7517,8.3,622,2012
Newton County,Missouri,76.5041535537771,29,145,14.9,84.1,493,15701,18.0,39.1,0.458,5456,17.2,52933,58314,983,2574,526,42644,1297,21853,7.1,743,2012
Nodaway County,Missouri,79.1776895355421,29,147,27.9,87.5,579,4681,21.0,28.1,0.4545,3703,11.3,22175,23305,1018,505,151,37815,465,8635,6.2,481,2012
Oregon County,Missouri,75.3913176922009,29,149,26.1,79.8,16,2815,7.6,45.1,0.4589,1029,24.0,10465,10885,217,140,153,26926,144,4538,11.9,90,2012
Osage County,Missouri,78.8991357375873,29,151,9.9,89.8,109,3870,13.1,39.2,0.3571,857,16.7,13704,13857,98,85,94,51006,269,5224,3.5,117,2012
Ozark County,Missouri,76.2211516031177,29,153,18.4,82.1,14,3112,12.3,49.5,0.399,821,21.8,9435,9672,165,132,89,32126,255,4143,8.9,120,2012
Pemiscot County,Missouri,71.8678826226139,29,155,29.6,74.3,5060,4443,10.8,36.9,0.4633,3036,25.6,13008,18288,603,358,127,30194,838,6997,8.8,801,2012
Perry County,Missouri,78.3337700150768,29,157,12.5,80.7,109,5269,11.9,39.5,0.4095,1733,16.1,18556,18986,296,331,218,45553,400,7581,5.2,142,2012
Pettis County,Missouri,77.3752369051183,29,159,17.2,81.6,1249,10745,13.3,37.3,0.4261,4987,15.4,37782,42044,1388,3059,329,38543,1017,16301,6.9,810,2012
Phelps County,Missouri,76.8943584319916,29,161,18.8,85.4,1012,10559,27.4,34.0,0.4421,6069,15.7,40956,44825,1312,930,343,41388,1010,16615,7.9,846,2012
Pike County,Missouri,76.8633191077903,29,163,14.5,74.6,1213,4581,9.6,39.8,0.4147,1892,16.9,16763,18574,282,353,240,40812,525,6606,8.9,292,2012
Platte County,Missouri,80.5362300761242,29,165,7.3,93.8,5295,24398,39.2,38.5,0.4213,12382,9.9,78483,89567,2462,4495,354,67419,2456,36104,6.1,1170,2012
Polk County,Missouri,76.4145698893006,29,167,22.4,83.2,249,8391,16.2,38.1,0.4181,3600,16.2,29948,31035,670,593,126,38852,548,11825,11.2,367,2012
Pulaski County,Missouri,76.4297567610334,29,169,14.0,91.6,5941,10304,22.2,26.6,0.3737,7187,15.8,39868,51620,746,4672,151,47251,1329,15718,11.5,692,2012
Putnam County,Missouri,77.0629895898788,29,171,19.4,79.3,25,1519,12.7,45.2,0.4109,585,18.4,4878,4976,114,37,111,35233,98,2324,2.7,74,2012
Ralls County,Missouri,79.0959311376881,29,173,10.4,86.5,39,3021,15.4,44.2,0.3756,740,13.5,9897,10198,151,103,87,50145,179,4121,5.5,138,2012
Randolph County,Missouri,76.167072424973,29,175,18.2,83.5,1644,6025,13.3,37.9,0.4105,2666,16.9,23061,25388,568,419,209,38067,703,8978,8.8,354,2012
Ray County,Missouri,76.38116204903,29,177,10.5,86.2,311,6557,11.2,40.0,0.3967,2043,14.3,22528,23422,322,431,195,52656,478,9058,8.5,361,2012
Reynolds County,Missouri,74.3804340343207,29,179,25.0,74.9,59,1741,7.0,44.8,0.4218,640,27.8,6460,6682,63,66,105,33326,142,2746,14.8,101,2012
Ripley County,Missouri,73.6708336814887,29,181,27.2,70.1,64,3984,9.3,41.9,0.3908,1546,24.1,13635,14070,319,155,111,31431,384,5454,13.5,143,2012
Saint Charles County,Missouri,80.5670639778183,29,183,5.4,93.8,16045,98029,36.6,37.0,0.3736,25685,9.7,327981,360695,4680,10060,1821,71416,7155,134693,6.6,2735,2012
Saint Clair County,Missouri,76.3807797627454,29,185,20.4,81.6,64,2880,10.4,48.6,0.4034,931,24.0,9299,9693,148,167,110,32075,213,4365,7.2,196,2012
Sainte Genevieve County,Missouri,78.0527645458685,29,186,10.7,81.8,137,5031,10.6,42.6,0.4031,1295,16.1,17647,18066,237,151,185,47809,197,7315,5.8,180,2012
Saint Francois County,Missouri,74.6536896311098,29,187,18.3,76.3,3061,16092,12.9,38.7,0.4365,7472,18.2,61082,65246,1738,797,468,36716,1719,24615,9.9,1188,2012
Saint Louis County,Missouri,79.0869187561601,29,189,10.5,91.9,231255,264111,42.5,39.8,0.4815,115549,11.2,705720,999147,27883,25016,7330,58485,32110,404151,8.4,20186,2012
Saline County,Missouri,77.3558776669603,29,195,19.1,79.9,1341,5733,13.8,38.0,0.4029,2760,18.2,20139,23232,462,1935,229,39090,696,8811,7.0,458,2012
Schuyler County,Missouri,77.4446289118319,29,197,25.2,80.1,41,1104,8.1,41.4,0.4309,507,18.6,4317,4397,43,3,102,30896,93,1756,9.6,63,2012
Scotland County,Missouri,77.9463454780453,29,199,18.9,73.6,7,1345,16.2,39.4,0.4703,411,13.5,4792,4843,47,47,63,40017,113,1967,2.6,64,2012
Scott County,Missouri,75.4359410085919,29,201,18.3,78.7,4464,10543,13.5,38.9,0.4436,4908,17.9,33804,39192,831,706,331,38968,1363,15284,7.4,978,2012
Shannon County,Missouri,76.184176530271,29,203,21.4,75.6,49,2411,10.4,44.2,0.4167,673,17.1,8112,8407,110,139,103,33091,160,3371,11.3,67,2012
