County,State,mean_life_expectancy,State_FIPS,County_FIPS,Poverty Rate,Black Population,High School Degree or Higher (%),Bachelor's Degree or Higher (%),Total Families,Gini Index,Median Age,Disability Rate,Rent Denominator,Hispanic Population,Rent Burden Count (+50%),Total Population,White Population,Median Household Income,No Vehicle (Owner),Total Families (Single Mother),Total Occupied Households,No Vehicle (Renter),Unemployment Rate,Year
Marshall County,Minnesota,82.0016950783227,27,89,7.9,38,86.9,14.9,2663,0.3989,44.2,12.5,785,360,79,9454,9243,52198,74,169,4080,95,5.9,2013
Martin County,Minnesota,80.576048460215,27,91,10.7,74,87.8,17.6,5712,0.4345,45.5,13.9,2143,765,473,20634,20166,48530,115,574,8797,605,4.2,2013
Meeker County,Minnesota,80.5878803054063,27,93,10.2,106,89.5,15.6,6528,0.3915,41.7,11.1,1769,767,323,23197,22694,53904,137,372,9288,208,7.1,2013
Mille Lacs County,Minnesota,77.7152036977397,27,95,13.9,154,87.7,14.7,6913,0.4047,40.0,14.4,2686,417,674,25927,23626,47862,145,815,10312,502,9.1,2013
Morrison County,Minnesota,79.9239988268322,27,97,12.6,137,87.2,14.8,9032,0.4169,40.8,12.9,2678,427,464,33118,32247,47649,331,729,13416,588,8.8,2013
Mower County,Minnesota,81.26747019387,27,99,16.3,922,84.8,17.0,10076,0.4407,38.6,12.4,4488,4191,1325,39252,36230,46004,290,1050,15855,766,6.3,2013
Murray County,Minnesota,81.406687560793,27,101,10.6,26,89.2,15.9,2496,0.4206,47.0,13.5,703,253,138,8639,8362,52160,43,157,3820,112,4.8,2013
Nicollet County,Minnesota,82.0762661695805,27,103,10.6,802,91.6,30.8,8259,0.3739,34.3,9.4,3164,1276,737,32849,30876,60115,149,738,12192,393,5.0,2013
Nobles County,Minnesota,81.494614384102,27,105,16.0,769,76.3,13.8,5658,0.4266,36.9,10.8,2227,5072,480,21490,17956,48208,111,482,7964,390,6.6,2013
Norman County,Minnesota,77.5796512253933,27,107,13.1,20,88.5,13.3,1735,0.4159,45.1,11.6,522,290,82,6753,6372,45389,55,134,2737,104,5.7,2013
Olmsted County,Minnesota,82.3073920749751,27,109,8.0,7121,93.6,39.2,37863,0.4367,36.4,8.1,14369,6350,2925,146063,126052,66252,990,3383,57262,2450,4.3,2013
Otter Tail County,Minnesota,80.2582911522868,27,111,11.7,590,88.9,22.2,16549,0.4265,46.4,13.6,5138,1596,1071,57369,55068,48961,326,1012,24356,1100,6.1,2013
Pennington County,Minnesota,79.2265393910315,27,113,10.9,228,90.3,16.7,3529,0.4074,39.3,12.3,1430,418,195,14008,13117,45633,98,383,5806,267,5.0,2013
Pine County,Minnesota,79.0565074657375,27,115,14.8,622,86.3,13.0,7745,0.4014,42.9,15.6,2433,733,388,29449,26987,43928,297,648,11758,375,10.1,2013
Pipestone County,Minnesota,80.094821648599,27,117,10.7,30,84.9,16.3,2618,0.4279,42.7,12.9,1071,382,221,9470,8852,46019,73,235,3924,186,5.7,2013
Polk County,Minnesota,78.5803876798228,27,119,12.6,325,88.3,20.6,8343,0.4304,39.8,12.6,3710,1763,867,31522,29253,50695,220,871,12663,677,6.6,2013
Pope County,Minnesota,80.7949264617652,27,121,9.2,50,91.4,19.6,3176,0.4299,46.0,12.9,964,98,137,10957,10757,52350,78,127,4758,201,5.1,2013
Ramsey County,Minnesota,80.0725227453739,27,123,16.9,56701,89.8,39.3,119801,0.4572,34.6,10.8,82663,37150,20685,515732,364956,54247,3473,15942,205395,19339,8.5,2013
Red Lake County,Minnesota,79.6394916588584,27,125,11.9,25,85.4,15.3,1118,0.3844,42.2,12.9,321,112,38,4087,3912,47569,41,71,1681,73,5.5,2013
Redwood County,Minnesota,79.6597322578671,27,127,10.0,90,85.7,14.7,4183,0.425,42.6,13.3,1443,365,216,15942,14237,47447,124,336,6507,201,4.9,2013
Renville County,Minnesota,79.2624435805548,27,129,11.6,97,88.5,13.7,4282,0.4169,43.9,12.5,1372,1079,228,15499,14768,50802,72,387,6400,259,6.5,2013
Rice County,Minnesota,81.0048934494323,27,131,11.6,1931,89.6,27.2,15595,0.4109,35.4,8.6,5464,5057,973,64585,58170,59915,467,1862,22299,1055,7.0,2013
Rock County,Minnesota,79.4489991733243,27,133,13.1,77,90.1,16.7,2724,0.4154,41.6,10.7,942,212,209,9601,9319,46623,46,318,3970,149,3.0,2013
Roseau County,Minnesota,79.7561597318083,27,135,9.7,78,90.0,18.0,4448,0.4047,40.9,11.3,1403,129,201,15587,14695,50759,86,392,6402,265,3.6,2013
Saint Louis County,Minnesota,78.7551052986631,27,137,16.4,2960,92.3,25.7,50162,0.4433,40.8,13.5,24496,2583,6628,200327,186132,46517,1915,5510,85238,6215,8.5,2013
Scott County,Minnesota,81.9644791343168,27,139,5.5,3550,94.6,37.9,34831,0.3827,35.1,6.5,6942,5987,1480,132774,115137,86112,469,2396,45630,988,6.1,2013
Sherburne County,Minnesota,80.6685001677233,27,141,7.8,1853,91.2,22.5,22864,0.361,34.7,8.4,5415,1997,1322,89120,84175,73098,292,1928,29948,647,7.1,2013
Sibley County,Minnesota,80.830933173093,27,143,11.8,35,87.7,12.2,4021,0.3938,40.9,11.6,1268,1139,130,15146,14657,54017,105,319,6090,182,7.3,2013
Stearns County,Minnesota,82.2221346718519,27,145,13.1,4926,90.0,23.2,37197,0.4187,33.4,10.2,15981,4331,3678,151053,138635,54551,812,3167,56737,2568,6.5,2013
Steele County,Minnesota,81.7438945249346,27,147,10.3,863,90.1,25.7,9837,0.4124,39.4,9.8,3348,2415,755,36512,33795,56480,143,838,14354,841,6.9,2013
Stevens County,Minnesota,82.3283986919135,27,149,15.4,37,89.6,25.2,2226,0.5054,33.3,10.9,1117,360,294,9723,9033,54206,40,117,3700,228,6.1,2013
Swift County,Minnesota,80.5947597209952,27,151,9.8,126,87.0,15.1,2719,0.4021,44.4,14.3,1145,377,199,9678,9358,48026,67,190,4315,216,4.4,2013
Todd County,Minnesota,81.0950896707223,27,153,15.7,84,84.4,11.4,6837,0.4222,42.2,12.8,1681,1282,306,24697,23525,45000,216,462,9904,328,7.3,2013
Traverse County,Minnesota,79.8922219509277,27,155,9.0,3,86.7,14.6,946,0.454,47.9,15.4,281,53,40,3507,3269,45714,25,53,1510,35,2.7,2013
Wabasha County,Minnesota,81.9654827628992,27,157,8.3,104,92.3,18.6,6150,0.4138,43.3,11.1,1567,592,277,21549,21099,53057,170,513,8890,214,5.8,2013
Wadena County,Minnesota,77.3546787315729,27,159,16.9,63,87.3,14.6,3756,0.4324,43.4,16.9,1444,190,270,13772,13280,36928,92,331,5830,303,5.9,2013
Waseca County,Minnesota,81.2288284084887,27,161,9.4,337,90.6,20.3,5027,0.4033,39.4,10.6,1662,1019,150,19046,17973,53657,103,370,7328,215,5.9,2013
Washington County,Minnesota,81.8111233262289,27,163,5.7,8552,96.0,41.0,65270,0.4017,38.5,7.7,16628,8527,3854,241315,211969,81540,933,5853,88947,1992,6.1,2013
Watonwan County,Minnesota,80.5410537119217,27,165,10.8,81,83.9,12.6,3025,0.4238,39.6,11.3,1134,2387,151,11173,10327,49698,69,282,4445,211,5.9,2013
Wilkin County,Minnesota,78.4609388280728,27,167,9.2,19,89.6,13.8,1757,0.3935,43.0,12.3,610,144,108,6576,6392,50507,21,116,2685,181,4.2,2013
Winona County,Minnesota,80.8992283877661,27,169,15.0,636,89.9,26.7,11389,0.4383,33.4,10.2,5377,1294,1714,51328,48444,47468,412,757,18957,913,8.2,2013
Wright County,Minnesota,81.0980437860864,27,171,6.5,1252,93.0,25.2,34144,0.3704,34.8,7.1,7263,3219,1490,126142,119194,71598,551,2811,44983,889,6.8,2013
Yellow Medicine County,Minnesota,80.2711192164332,27,173,12.2,23,87.9,15.9,2856,0.3915,43.2,13.1,864,403,168,10294,9596,52510,69,223,4135,110,4.1,2013
Adams County,Mississippi,73.7096770182921,28,1,28.4,18405,75.5,14.2,7127,0.5172,40.3,17.4,3867,1238,764,32308,12702,27381,411,1190,12087,669,11.4,2013
Alcorn County,Mississippi,73.8843093434408,28,3,20.8,4336,77.1,17.4,9992,0.463,40.4,19.3,4248,1014,726,37159,31756,33600,402,980,14679,511,10.3,2013
Amite County,Mississippi,75.8130325040975,28,5,25.7,5534,75.0,10.3,3246,0.4626,44.4,27.7,766,48,190,13061,7456,30750,351,368,5212,97,12.9,2013
Attala County,Mississippi,73.4950713616207,28,7,27.7,8208,66.4,15.9,4806,0.493,40.0,18.7,1897,342,325,19383,10810,31641,220,744,7185,348,14.5,2013
Benton County,Mississippi,74.3535004507145,28,9,24.1,3082,67.3,10.8,2123,0.5164,39.5,18.4,584,166,226,8682,5280,31060,163,243,3195,47,20.2,2013
Bolivar County,Mississippi,71.2852921107636,28,11,34.3,21883,70.1,17.7,7881,0.4913,34.3,11.6,5361,676,1132,34107,11287,28599,407,1752,12301,1166,17.6,2013
Calhoun County,Mississippi,74.5596283864905,28,13,23.7,4157,64.2,9.2,3889,0.4423,40.3,18.9,1753,817,369,14875,10509,30000,153,431,5944,369,10.4,2013
Carroll County,Mississippi,76.554041105066,28,15,24.4,3433,77.3,11.0,2781,0.483,42.0,14.9,631,32,102,10501,6846,31039,78,246,3757,64,12.5,2013
Chickasaw County,Mississippi,75.0523026605695,28,17,25.3,7409,68.1,8.9,4520,0.4627,38.2,18.2,1775,653,351,17403,9653,31061,216,801,6614,344,12.6,2013
Choctaw County,Mississippi,75.6394915860441,28,19,24.1,2691,77.1,10.0,2267,0.4566,42.8,23.0,967,28,174,8440,5698,29876,171,228,3378,224,16.7,2013
Claiborne County,Mississippi,72.5378593135743,28,21,33.1,8063,74.7,14.0,1978,0.4933,32.0,12.3,639,89,145,9553,1338,23689,235,287,3190,143,13.2,2013
Clarke County,Mississippi,74.2640996096485,28,23,23.4,5892,75.3,9.8,4600,0.4581,40.9,25.2,1005,110,272,16614,10655,31362,375,647,6305,199,13.0,2013
Clay County,Mississippi,75.0084424862449,28,25,26.4,11988,77.4,16.7,5699,0.5052,38.7,16.4,2224,124,628,20539,8159,30764,368,1061,7750,407,20.0,2013
Coahoma County,Mississippi,71.1599470778584,28,27,38.2,19701,72.3,17.2,6470,0.5406,33.3,16.6,4418,136,1017,25815,5873,26407,333,1977,9464,1137,19.4,2013
Copiah County,Mississippi,74.2170965152947,28,29,26.3,14943,78.5,11.0,6698,0.4963,37.9,16.9,2347,792,480,29204,13482,35421,490,711,9897,433,14.1,2013
Covington County,Mississippi,72.8609408069449,28,31,29.9,7096,74.0,11.4,4813,0.4535,38.6,22.9,1199,211,148,19520,12182,33381,279,646,7036,206,13.3,2013
DeSoto County,Mississippi,76.9938492774406,28,33,9.8,34433,86.8,20.0,44020,0.3796,35.4,10.9,14422,8098,2799,163975,119299,58505,754,5044,57979,859,8.5,2013
Forrest County,Mississippi,74.2382036116112,28,35,27.6,27816,82.9,25.6,17200,0.497,31.1,19.2,12112,2592,3734,75991,45549,36726,467,2692,27822,1878,12.5,2013
Franklin County,Mississippi,74.9117542966855,28,37,23.0,2832,75.0,9.4,2413,0.5726,41.7,20.3,674,9,160,8013,5115,32372,111,329,3311,100,12.1,2013
George County,Mississippi,72.8761951777021,28,39,18.6,1858,83.1,9.2,5885,0.4277,35.9,16.4,1237,484,174,22757,20178,43958,270,455,7842,146,12.4,2013
Greene County,Mississippi,74.8202521425028,28,41,18.2,3734,69.9,5.7,3055,0.4168,36.7,20.9,520,150,11,14337,10259,36888,138,300,4117,85,14.6,2013
Grenada County,Mississippi,71.7246698594509,28,43,21.9,9272,75.1,15.0,5164,0.5418,40.3,19.1,2102,4,513,21745,12199,34129,212,777,7941,418,11.6,2013
Hancock County,Mississippi,76.4391713817129,28,45,18.7,3401,85.0,23.5,12795,0.4327,41.0,16.4,4484,1517,812,44597,39161,44522,329,1395,18145,279,10.8,2013
Harrison County,Mississippi,75.0046378225847,28,47,19.9,43259,85.3,19.7,47656,0.4522,35.3,14.7,28192,10173,6904,190756,134374,43124,1078,7254,72253,2627,9.7,2013
Hinds County,Mississippi,75.2490413872811,28,49,25.3,171602,83.5,25.1,57415,0.4901,33.3,13.3,35795,3691,10374,246300,69163,37626,1644,11649,87844,5179,11.3,2013
Holmes County,Mississippi,71.8812157038921,28,51,43.5,15717,66.5,11.1,4317,0.4918,32.8,13.8,1889,41,289,18931,3000,22325,538,1202,6511,385,19.4,2013
Humphreys County,Mississippi,71.8485982327311,28,53,44.9,6995,61.8,8.3,2016,0.4957,34.9,16.5,1420,214,313,9258,2111,23600,172,352,3107,377,25.4,2013
Issaquena County,Mississippi,74.5036532702353,28,55,32.5,987,54.6,4.5,295,0.4803,39.6,24.4,150,1,27,1383,395,24767,10,31,461,52,27.6,2013
Itawamba County,Mississippi,74.3035127389377,28,57,15.7,1488,75.1,13.7,6426,0.4175,40.0,19.9,1858,314,406,23366,21625,36073,181,385,8859,129,9.0,2013
Jackson County,Mississippi,75.6916301336342,28,59,15.9,30523,85.3,19.8,35024,0.4488,36.9,16.8,14581,6766,3493,139906,102307,48943,779,4443,50007,1254,10.7,2013
Jasper County,Mississippi,74.7692902338666,28,61,22.1,8744,73.1,10.7,4903,0.4868,41.7,22.7,1449,188,129,16827,7862,31170,392,996,7015,176,7.3,2013
Jefferson County,Mississippi,73.5514296610931,28,63,40.0,6628,77.4,10.8,1671,0.4619,38.3,18.1,717,0,88,7690,1056,26028,192,385,2520,136,14.6,2013
Jefferson Davis County,Mississippi,73.3064821274409,28,65,27.0,7317,73.3,12.2,3171,0.4799,41.2,20.9,1040,48,163,12248,4750,27186,329,533,4895,217,13.6,2013
Jones County,Mississippi,74.9196368354135,28,67,23.0,19370,76.7,15.9,17973,0.4677,36.9,18.6,6532,3081,1292,68174,46836,38074,760,2242,24677,806,7.4,2013
Kemper County,Mississippi,76.5706009911457,28,69,33.3,6196,73.8,7.6,2283,0.4712,36.5,19.5,863,215,128,10383,3710,29003,296,303,3605,223,15.1,2013
Lafayette County,Mississippi,76.8649236093089,28,71,25.6,11911,83.9,37.6,9313,0.5122,27.7,10.7,6392,1107,2225,48905,34889,43328,195,1136,15743,546,9.6,2013
Lamar County,Mississippi,78.395552524777,28,73,17.4,11256,91.5,34.3,15165,0.4723,33.3,13.5,7410,1276,2222,56763,43655,51154,371,2262,21678,599,6.4,2013
Lauderdale County,Mississippi,74.446148203756,28,75,24.1,33781,82.0,17.8,20146,0.4908,37.0,18.6,10106,1515,2406,80337,44255,36203,703,4094,29809,1644,11.2,2013
Lawrence County,Mississippi,73.2268612697849,28,77,18.8,4157,79.5,11.6,3483,0.4678,40.5,19.6,968,102,148,12734,8453,38393,247,319,4830,90,9.3,2013
Leake County,Mississippi,73.9410684452009,28,79,27.7,9637,73.6,8.0,5828,0.4865,33.5,21.3,1978,1013,334,23519,12362,32521,427,954,8069,294,11.0,2013
Lee County,Mississippi,74.4708444470975,28,81,18.3,23154,81.7,22.5,22676,0.4523,36.3,16.0,9274,2035,1728,83964,58511,42074,665,3444,31898,1226,7.5,2013
Leflore County,Mississippi,71.9274529257523,28,83,40.4,23102,71.7,17.7,7043,0.5295,32.7,12.2,5369,765,1378,31993,8233,24480,438,1926,10887,1062,17.7,2013
Lincoln County,Mississippi,73.7104220272599,28,85,23.5,10709,80.2,14.6,9817,0.4627,37.8,16.1,3386,373,534,34870,23912,36498,215,1318,13045,212,7.6,2013
Lowndes County,Mississippi,75.6699529057829,28,87,25.4,26211,83.3,20.3,15132,0.4796,36.1,16.6,8784,984,2414,59746,32418,37868,454,2149,23178,1570,14.6,2013
Madison County,Mississippi,75.235237532532,28,89,12.7,37207,88.3,46.8,25414,0.4916,36.3,9.7,10805,2781,2454,97151,55476,59904,556,2883,36342,1122,6.0,2013
Marion County,Mississippi,72.4339600093061,28,91,28.2,8657,71.4,13.1,7050,0.5027,37.6,22.0,2528,352,554,26674,17696,29400,407,775,9985,474,10.7,2013
Marshall County,Mississippi,73.9836973831274,28,93,22.2,17413,67.4,8.3,9232,0.4426,39.1,15.6,2681,1195,745,36823,18252,36022,513,1241,13050,430,14.0,2013
Monroe County,Mississippi,75.2480044639617,28,95,21.6,11382,77.6,14.0,10209,0.4299,39.5,18.5,3164,366,372,36652,24947,36308,494,1123,13960,569,11.8,2013
Montgomery County,Mississippi,73.0790075202276,28,97,31.1,5081,75.1,11.8,2896,0.4325,41.7,18.0,1077,0,254,10754,5673,30466,108,441,4229,259,10.4,2013
Neshoba County,Mississippi,72.1783764560039,28,99,24.1,6243,74.2,11.8,7619,0.4595,35.5,19.6,2905,512,435,29655,17981,37050,392,1346,10829,313,12.6,2013
Newton County,Mississippi,73.9120954277098,28,101,18.6,6605,83.0,15.1,6091,0.4216,37.6,21.3,1778,313,265,21645,13729,39190,236,704,7931,219,8.5,2013
Noxubee County,Mississippi,74.7331689137245,28,103,34.6,8171,63.0,7.9,3034,0.4609,36.7,20.1,1183,97,306,11358,3133,24338,266,693,4194,292,20.5,2013
Oktibbeha County,Mississippi,77.9002782914071,28,105,33.7,17819,84.9,40.9,9746,0.5375,25.3,11.3,8771,733,3469,48198,28301,30987,460,1574,18176,742,13.8,2013
Panola County,Mississippi,72.9420133757285,28,107,25.3,17538,72.0,14.1,7930,0.4735,36.5,17.1,2827,171,704,34558,16778,35715,466,1358,11928,558,12.0,2013
Pearl River County,Mississippi,74.3372457132276,28,109,22.2,7065,80.8,13.0,14958,0.4501,40.0,18.0,4604,1659,897,55569,46980,42510,780,1834,20556,526,11.3,2013
Perry County,Mississippi,73.900865559261,28,111,21.0,2601,79.2,6.2,3331,0.4306,39.5,27.0,678,0,171,12174,9445,36124,162,369,4483,58,12.0,2013
Pike County,Mississippi,72.7096266883724,28,113,27.5,20907,75.2,14.8,9712,0.4878,36.8,19.0,4370,515,1014,40269,18646,34841,462,1601,14614,963,10.2,2013
Pontotoc County,Mississippi,76.4531424349025,28,115,14.0,4266,72.2,11.2,7137,0.4224,36.0,17.6,2168,1822,361,30207,23959,39899,259,875,9937,188,7.2,2013
Prentiss County,Mississippi,74.8996721928906,28,117,24.2,3438,67.4,9.2,6872,0.4338,39.3,21.9,2612,322,520,25354,21364,32503,238,831,9611,525,14.0,2013
Quitman County,Mississippi,71.09098253979,28,119,40.7,5603,63.7,12.0,2086,0.4735,38.5,15.8,979,63,261,8028,2371,22863,124,377,3114,236,15.5,2013
Rankin County,Mississippi,78.3766359356396,28,121,11.5,27406,86.1,28.0,38696,0.4129,36.4,13.5,13057,3760,2397,143665,111601,57380,667,4120,53223,1003,6.0,2013
Scott County,Mississippi,73.9809897331833,28,123,24.7,10757,69.6,9.0,7000,0.4475,35.3,20.8,2358,2996,294,28255,16590,34534,500,1060,9692,697,10.5,2013
Sharkey County,Mississippi,72.8474114189884,28,125,31.2,3438,77.8,12.3,1178,0.4056,38.8,23.4,614,47,83,4889,1445,35125,114,177,1725,128,21.8,2013
Simpson County,Mississippi,73.9497257698827,28,127,22.6,9689,75.9,14.0,7006,0.4437,38.2,16.4,2350,429,268,27439,17314,38362,310,833,9786,298,12.5,2013
Smith County,Mississippi,75.0837292155677,28,129,23.6,3933,78.7,11.6,4663,0.4996,39.8,21.5,1044,212,130,16414,12311,34753,171,725,6269,191,7.0,2013
Stone County,Mississippi,74.0454966772323,28,131,18.0,3416,82.4,11.4,4294,0.4278,35.6,15.9,1022,261,210,17854,14057,42963,118,410,5871,154,13.0,2013
Sunflower County,Mississippi,71.467317872054,28,133,36.1,20997,67.0,7.9,5915,0.4904,33.7,12.3,3474,416,741,28722,7368,26619,310,1134,8394,790,21.7,2013
Tallahatchie County,Mississippi,73.4142883464796,28,135,30.2,7820,61.0,5.6,3253,0.4313,35.2,16.9,1252,1590,211,15231,6609,29853,204,620,4640,341,16.5,2013
Tate County,Mississippi,74.9264338235102,28,137,18.5,8878,78.8,14.8,7013,0.4604,36.4,17.2,2531,666,422,28625,19191,41494,165,795,9936,283,11.8,2013
Tippah County,Mississippi,73.6533302203581,28,139,25.5,3209,73.2,9.2,6280,0.4665,37.9,23.4,1987,1031,288,22080,17843,34636,371,670,8472,190,14.5,2013
Tishomingo County,Mississippi,73.2165859435877,28,141,17.6,543,74.9,11.9,5779,0.4379,42.7,22.2,1841,538,414,19582,18509,32592,223,620,7643,241,11.0,2013
Tunica County,Mississippi,71.2821984054165,28,143,30.3,7861,77.1,11.8,2341,0.4342,32.2,14.3,2322,247,500,10660,2535,31446,152,625,4116,226,10.2,2013
Union County,Mississippi,75.8830324366929,28,145,23.5,3864,72.9,14.0,7745,0.4487,37.2,17.4,2811,1229,525,27338,22547,38373,157,822,10322,327,10.5,2013
Walthall County,Mississippi,73.8990454504909,28,147,25.3,6966,69.7,10.8,3581,0.4968,37.2,22.0,991,242,99,15265,8105,31090,227,300,5649,199,10.6,2013
Warren County,Mississippi,74.192526287596,28,149,24.4,22843,81.4,24.6,12237,0.4792,37.7,12.3,6465,934,1380,48389,24489,41025,328,2022,18404,1117,8.0,2013
Washington County,Mississippi,71.5533710515355,28,151,37.3,35879,74.1,17.5,12412,0.511,35.5,22.3,8200,594,2176,50578,13647,28093,590,2921,18123,1958,21.4,2013
Wayne County,Mississippi,74.7085705921865,28,153,28.4,8088,74.1,7.9,5561,0.4984,37.6,23.3,1351,264,233,20675,12351,29925,404,656,8105,134,10.5,2013
Webster County,Mississippi,73.0604838660998,28,155,24.9,1966,81.2,18.8,3050,0.4726,40.4,19.3,1080,115,276,10129,7994,33524,162,395,4084,165,14.7,2013
Wilkinson County,Mississippi,72.3223478710573,28,157,27.8,6855,66.7,7.3,2351,0.4963,35.8,25.6,786,8,151,9653,2798,33618,189,404,3496,240,14.8,2013
Winston County,Mississippi,74.6399795907165,28,159,29.8,8932,78.4,14.5,5229,0.4873,40.0,17.0,2189,190,678,19052,9910,30821,342,804,7635,506,15.5,2013
Yalobusha County,Mississippi,72.8963966399532,28,161,22.2,4868,78.5,16.3,3270,0.4611,40.5,21.1,1220,112,255,12554,7556,32930,159,459,4797,249,8.9,2013
Yazoo County,Mississippi,73.6226134896624,28,163,35.5,15867,72.4,11.3,5937,0.4952,35.5,20.3,3481,1419,901,28122,10942,26336,369,1400,8710,720,20.4,2013
Adair County,Missouri,77.8922475508622,29,1,23.7,504,87.1,26.1,5501,0.4854,29.0,12.1,3840,562,1388,25573,24107,34733,197,474,9648,664,6.7,2013
Andrew County,Missouri,78.8818916940751,29,3,8.2,125,90.6,21.6,4687,0.4018,41.9,13.3,1557,336,240,17319,16823,54336,99,229,6691,161,7.0,2013
Atchison County,Missouri,77.8502514310176,29,5,11.6,33,89.7,21.6,1524,0.4101,46.2,17.8,744,60,52,5605,5482,44426,59,81,2448,88,5.8,2013
Audrain County,Missouri,76.8185806422326,29,7,17.0,1534,85.2,12.2,6430,0.3979,38.8,15.5,2410,681,272,25584,22962,43013,251,623,9327,345,7.8,2013
Barry County,Missouri,76.0425108716089,29,9,19.1,22,79.9,12.6,9496,0.4082,42.4,17.1,3247,2822,529,35614,32492,38710,208,586,13464,319,13.5,2013
Barton County,Missouri,77.3502669855083,29,11,18.7,18,82.8,16.9,3650,0.4441,40.6,17.3,1250,259,184,12378,11686,40580,72,200,5065,259,7.0,2013
Bates County,Missouri,76.1164890516223,29,13,18.6,206,81.8,11.6,4529,0.427,42.1,18.9,1791,311,314,16878,16213,38579,203,327,6832,283,9.2,2013
Benton County,Missouri,75.995992704134,29,15,20.1,28,82.4,10.7,5756,0.437,52.1,22.1,1315,307,300,19008,18456,32951,236,336,8225,276,8.2,2013
Bollinger County,Missouri,76.364414811417,29,17,19.9,33,79.2,10.3,3337,0.4567,42.1,24.0,916,107,171,12408,12159,37716,215,294,4758,89,6.2,2013
Boone County,Missouri,80.1017852827957,29,19,20.0,14385,93.6,48.0,37372,0.4846,29.7,10.0,28191,5128,8650,165776,136692,48627,515,4410,65649,3181,6.1,2013
Buchanan County,Missouri,76.2145288375848,29,21,17.0,3994,85.7,18.0,21256,0.4336,36.8,15.6,11750,4908,2789,89419,80184,44363,763,2761,33331,2150,8.4,2013
Butler County,Missouri,73.8710180644632,29,23,21.2,2123,78.5,13.1,11271,0.4482,40.4,22.7,5832,707,1282,42946,38972,34969,338,1225,17085,1144,9.6,2013
Caldwell County,Missouri,77.0571815065876,29,25,14.3,62,87.7,10.9,2667,0.4168,41.7,16.5,1084,156,214,9249,8956,41169,54,275,3743,98,7.3,2013
Callaway County,Missouri,77.6940654993037,29,27,13.0,1687,83.3,21.2,11233,0.4226,37.9,14.6,3949,752,608,44276,40772,47964,301,1276,16548,445,7.0,2013
Camden County,Missouri,78.9373527613186,29,29,16.1,190,88.7,20.0,12558,0.4187,49.2,18.4,3845,1050,806,43822,42461,43458,339,992,17647,384,8.6,2013
Cape Girardeau County,Missouri,77.9755454840591,29,31,15.8,5500,88.2,27.7,19274,0.444,36.0,14.0,9866,1585,2535,76322,68156,46516,456,1996,29411,1433,7.4,2013
Carroll County,Missouri,76.7741758234777,29,33,13.6,90,83.6,13.2,2474,0.4385,41.8,16.1,713,121,124,9216,8840,46002,74,210,3613,100,7.2,2013
Carter County,Missouri,73.5103690317366,29,35,21.9,28,76.1,12.4,1521,0.4668,40.5,19.0,640,90,72,6260,6030,30962,120,89,2426,93,9.9,2013
Cass County,Missouri,78.3897118609715,29,37,8.9,3578,92.0,22.5,27627,0.3941,38.4,11.8,8348,4054,1691,99875,92144,60350,407,2676,37307,813,7.5,2013
Cedar County,Missouri,75.7058108655114,29,39,23.3,22,83.6,14.8,3816,0.4323,43.7,21.8,1737,149,336,13903,13457,30302,88,290,5970,203,10.2,2013
Chariton County,Missouri,78.4422212795068,29,41,16.5,176,82.8,8.9,1961,0.419,45.7,19.7,704,50,67,7730,7462,39385,76,140,2958,86,4.9,2013
Christian County,Missouri,79.262299390096,29,43,10.6,460,91.1,25.8,22601,0.4049,36.9,11.0,7701,2042,1483,78724,75538,52838,368,1732,29652,564,7.6,2013
Clark County,Missouri,77.1176927124252,29,45,17.6,30,84.2,9.3,1784,0.4111,43.4,16.9,637,40,27,7035,6879,40204,44,149,2749,72,6.4,2013
Clay County,Missouri,79.294930939216,29,47,9.0,11604,92.0,30.9,59138,0.3998,36.3,11.1,25196,13695,4731,225116,197453,60936,1144,6168,86934,2511,6.8,2013
Clinton County,Missouri,76.3607278296839,29,49,10.2,355,88.7,16.1,5806,0.3778,40.8,12.3,2217,351,353,20659,19789,53826,123,542,8089,152,8.1,2013
Cole County,Missouri,78.9344554922392,29,51,13.3,8705,89.0,29.6,19243,0.4154,37.8,14.2,9739,1923,1570,76228,63731,53931,371,2573,29302,1620,5.0,2013
Cooper County,Missouri,77.6143801009652,29,53,17.8,938,83.3,15.8,4635,0.4409,38.5,13.0,1751,246,290,17574,15775,45992,189,436,6568,245,8.7,2013
Crawford County,Missouri,75.6648169357345,29,55,21.1,63,77.8,11.8,6421,0.4332,40.7,18.6,2277,390,700,24711,24175,35897,176,677,9485,363,11.9,2013
Dade County,Missouri,76.543292068581,29,57,20.6,33,86.3,14.7,2177,0.4587,46.9,16.8,728,126,122,7734,7400,35483,58,242,3175,87,7.5,2013
Dallas County,Missouri,77.0100043500477,29,59,22.8,18,74.3,12.9,4804,0.3948,42.6,20.0,1272,280,157,16733,16019,40120,212,360,6443,252,14.6,2013
Daviess County,Missouri,77.2053583284683,29,61,14.7,37,83.3,15.4,2258,0.4106,40.8,14.2,748,100,107,8347,8133,42393,154,148,3151,68,6.1,2013
DeKalb County,Missouri,77.8075121411642,29,63,9.9,1316,78.7,6.7,2531,0.4214,40.2,17.7,1311,235,235,12873,10890,44092,37,136,3769,269,7.4,2013
Dent County,Missouri,75.9251129490697,29,65,20.9,26,80.2,11.6,4217,0.4297,43.2,25.4,1587,175,299,15649,15051,36311,110,388,5858,285,9.7,2013
