County,State,mean_life_expectancy,State_FIPS,County_FIPS,High School Degree or Higher (%),Black Population,Poverty Rate,Rent Denominator,Disability Rate,Median Age,Gini Index,Total Families,Bachelor's Degree or Higher (%),Total Families (Single Mother),No Vehicle (Owner),Median Household Income,White Population,Total Population,Rent Burden Count (+50%),Hispanic Population,Unemployment Rate,No Vehicle (Renter),Total Occupied Households,Year
Traverse County,Minnesota,78.9876151741354,27,155,91.0,21.0,10.9,309.0,19.1,48.6,0.4423,1028.0,17.6,56.0,40.0,48889.0,3111.0,3357.0,47.0,83.0,3.2,67.0,1576.0,2017
Wabasha County,Minnesota,81.8238531557157,27,157,92.4,87.0,6.1,1690.0,11.9,45.0,0.4162,6143.0,21.6,388.0,134.0,61973.0,20905.0,21490.0,271.0,613.0,3.2,237.0,8867.0,2017
Wadena County,Minnesota,76.6363226081507,27,159,89.4,154.0,15.0,1277.0,16.8,41.7,0.4329,3572.0,12.9,333.0,135.0,45018.0,13118.0,13626.0,304.0,241.0,5.8,185.0,5704.0,2017
Waseca County,Minnesota,80.6390839616165,27,161,92.8,394.0,9.2,1637.0,12.0,39.6,0.4053,4948.0,20.2,426.0,152.0,55189.0,17666.0,18898.0,334.0,1085.0,3.2,240.0,7375.0,2017
Washington County,Minnesota,81.813781357859,27,163,96.1,10300.0,5.0,17241.0,9.0,39.2,0.4121,66885.0,42.3,5332.0,635.0,89598.0,216738.0,250979.0,3452.0,9847.0,3.5,2117.0,92005.0,2017
Watonwan County,Minnesota,79.9568954747274,27,165,83.5,65.0,12.2,1146.0,11.9,39.9,0.4336,2752.0,15.2,285.0,59.0,50044.0,9556.0,10936.0,204.0,2553.0,2.4,119.0,4327.0,2017
Wilkin County,Minnesota,78.5150969502267,27,167,92.8,35.0,9.9,684.0,14.9,44.3,0.4082,1838.0,20.8,144.0,59.0,52917.0,6030.0,6398.0,108.0,45.0,1.4,124.0,2852.0,2017
Winona County,Minnesota,80.5357025564087,27,169,92.8,750.0,14.5,5766.0,11.5,34.5,0.4377,11460.0,29.6,788.0,429.0,53975.0,47759.0,50992.0,1483.0,1418.0,5.1,1098.0,19228.0,2017
Wright County,Minnesota,80.8066969849497,27,171,94.4,1855.0,5.0,8181.0,8.5,36.2,0.3831,35120.0,27.4,2358.0,594.0,77953.0,124169.0,131130.0,1320.0,3632.0,3.6,1193.0,46568.0,2017
Yellow Medicine County,Minnesota,79.9415801369744,27,173,90.7,51.0,12.5,919.0,12.7,42.6,0.4077,2819.0,15.8,291.0,94.0,54645.0,9187.0,9930.0,173.0,431.0,2.7,139.0,4157.0,2017
Adams County,Mississippi,73.0608562882492,28,1,79.5,16798.0,34.2,4320.0,15.4,40.3,0.53,7437.0,17.4,1470.0,330.0,30359.0,13449.0,31583.0,916.0,2667.0,10.9,842.0,11509.0,2017
Alcorn County,Mississippi,73.3505353393099,28,3,80.8,4374.0,19.6,4372.0,20.6,40.1,0.4479,9669.0,15.9,741.0,327.0,38919.0,31710.0,37242.0,528.0,1124.0,8.6,454.0,14675.0,2017
Amite County,Mississippi,75.3910725487681,28,5,78.9,5277.0,22.8,707.0,19.8,46.4,0.4924,3055.0,13.2,317.0,193.0,30129.0,7237.0,12574.0,86.0,29.0,10.8,139.0,4994.0,2017
Attala County,Mississippi,72.805394184376,28,7,77.4,8027.0,22.6,2113.0,20.2,39.9,0.5158,5029.0,12.3,638.0,203.0,33815.0,10142.0,18731.0,507.0,376.0,10.3,475.0,7174.0,2017
Benton County,Mississippi,73.5301365735074,28,9,73.1,3042.0,20.2,511.0,18.7,42.0,0.4258,2126.0,10.3,127.0,75.0,40605.0,5051.0,8306.0,83.0,204.0,13.7,17.0,2960.0,2017
Bolivar County,Mississippi,71.0762211519525,28,11,76.1,21276.0,37.4,5467.0,17.6,35.0,0.5142,7795.0,22.9,1783.0,304.0,28468.0,10875.0,33121.0,1513.0,696.0,12.6,1165.0,12267.0,2017
Calhoun County,Mississippi,73.9641131092755,28,13,75.4,3984.0,26.9,1686.0,21.2,40.5,0.4413,3911.0,11.2,491.0,183.0,33370.0,9786.0,14617.0,392.0,829.0,8.4,320.0,5853.0,2017
Carroll County,Mississippi,76.0260083846934,28,15,82.1,3424.0,14.0,666.0,19.1,46.0,0.4684,2629.0,16.4,159.0,76.0,43068.0,6601.0,10221.0,124.0,50.0,7.0,52.0,3592.0,2017
Chickasaw County,Mississippi,74.5873999395152,28,17,74.5,7492.0,22.9,1882.0,15.9,37.0,0.4869,4450.0,11.8,742.0,213.0,33579.0,9288.0,17305.0,483.0,765.0,7.6,403.0,6454.0,2017
Choctaw County,Mississippi,75.3334822066582,28,19,81.4,2583.0,24.5,752.0,25.8,44.3,0.4518,1969.0,17.3,152.0,125.0,34542.0,5681.0,8360.0,108.0,41.0,10.4,138.0,3198.0,2017
Claiborne County,Mississippi,72.2531180506981,28,21,76.0,7915.0,45.9,997.0,15.3,33.8,0.4826,1959.0,18.8,449.0,86.0,24601.0,1098.0,9106.0,149.0,33.0,17.7,173.0,3187.0,2017
Clarke County,Mississippi,73.342627857558,28,23,78.9,5650.0,18.5,1081.0,20.3,41.8,0.4443,4319.0,13.3,456.0,185.0,37626.0,10266.0,16089.0,153.0,138.0,9.1,212.0,6365.0,2017
Clay County,Mississippi,74.7462237256067,28,25,80.0,11799.0,26.6,2167.0,12.7,39.4,0.4701,5451.0,19.3,870.0,264.0,34118.0,7948.0,19990.0,670.0,128.0,11.3,391.0,7681.0,2017
Coahoma County,Mississippi,70.1906157324008,28,27,78.4,18756.0,36.2,4373.0,14.6,34.0,0.5183,5977.0,16.9,1494.0,195.0,28728.0,5247.0,24296.0,936.0,35.0,19.0,1074.0,8969.0,2017
Copiah County,Mississippi,73.9966976935304,28,29,78.5,14915.0,24.3,2159.0,15.6,38.2,0.4643,6848.0,13.3,974.0,422.0,38046.0,12980.0,28748.0,434.0,850.0,12.3,360.0,9778.0,2017
Covington County,Mississippi,72.5880196306984,28,31,81.7,6918.0,23.1,1268.0,19.8,37.5,0.4387,4948.0,16.1,567.0,312.0,36471.0,12003.0,19172.0,262.0,460.0,8.8,95.0,6919.0,2017
DeSoto County,Mississippi,76.6794321904568,28,33,89.4,43980.0,9.8,16414.0,11.7,36.6,0.4057,44999.0,23.5,4805.0,655.0,62595.0,120513.0,173267.0,2985.0,8253.0,6.1,1274.0,61158.0,2017
Forrest County,Mississippi,73.7332292045041,28,35,86.7,27930.0,26.3,12604.0,21.1,32.0,0.4824,17588.0,26.7,3122.0,471.0,39555.0,45182.0,75835.0,3248.0,2308.0,11.9,1690.0,28063.0,2017
Franklin County,Mississippi,74.1100767980855,28,37,84.5,2795.0,17.9,727.0,18.1,42.5,0.4928,2309.0,16.2,340.0,91.0,42388.0,4949.0,7772.0,68.0,65.0,7.4,76.0,3097.0,2017
George County,Mississippi,72.3672687286948,28,39,79.4,1818.0,14.7,1065.0,20.9,36.5,0.4662,5097.0,11.9,227.0,140.0,47640.0,20987.0,23545.0,129.0,636.0,8.2,122.0,7220.0,2017
Greene County,Mississippi,74.5484878154853,28,41,75.9,3531.0,15.1,519.0,21.7,39.0,0.4292,2813.0,8.7,232.0,99.0,48029.0,10100.0,13801.0,122.0,156.0,11.7,84.0,4174.0,2017
Grenada County,Mississippi,71.353894547333,28,43,78.8,9250.0,24.2,2497.0,21.7,40.3,0.47,5048.0,18.1,924.0,227.0,34876.0,11842.0,21379.0,352.0,92.0,10.4,468.0,7889.0,2017
Hancock County,Mississippi,76.246813617772,28,45,84.7,4010.0,17.2,5069.0,18.1,43.2,0.4224,12739.0,20.9,1412.0,407.0,47518.0,40460.0,46277.0,992.0,1740.0,8.7,525.0,19145.0,2017
Harrison County,Mississippi,74.5786615473572,28,47,87.0,48549.0,20.5,34346.0,15.3,35.9,0.443,50893.0,22.2,8027.0,1287.0,44684.0,137403.0,200491.0,8285.0,10718.0,9.4,3306.0,77630.0,2017
Hinds County,Mississippi,74.8750106107149,28,49,86.3,174890.0,23.9,36319.0,12.3,34.2,0.4854,57454.0,28.6,11671.0,1868.0,41011.0,63210.0,243249.0,9687.0,3642.0,10.0,5393.0,89153.0,2017
Holmes County,Mississippi,70.8431734751582,28,51,75.3,15196.0,46.5,2452.0,15.1,34.5,0.556,4147.0,10.7,1141.0,304.0,20330.0,2882.0,18267.0,325.0,50.0,19.6,482.0,6280.0,2017
Humphreys County,Mississippi,71.6841000912992,28,53,68.3,6556.0,40.5,1304.0,17.9,36.4,0.5316,1975.0,13.6,402.0,181.0,26188.0,1878.0,8678.0,212.0,248.0,21.1,284.0,3119.0,2017
Issaquena County,Mississippi,73.6136306122577,28,55,65.6,841.0,40.3,236.0,25.0,38.8,0.5804,287.0,6.1,32.0,13.0,25609.0,445.0,1296.0,23.0,15.0,12.6,52.0,437.0,2017
Itawamba County,Mississippi,73.7424683903062,28,57,77.7,1801.0,18.4,2176.0,20.5,39.8,0.4616,6207.0,13.0,642.0,135.0,38358.0,21354.0,23439.0,359.0,347.0,6.1,138.0,8813.0,2017
Jackson County,Mississippi,75.3128105730287,28,59,87.8,31303.0,15.3,15191.0,17.6,38.3,0.4398,33753.0,20.7,3895.0,986.0,50274.0,101379.0,141314.0,3281.0,8342.0,8.3,1250.0,50994.0,2017
Jasper County,Mississippi,74.2910305658162,28,61,84.1,8947.0,22.8,1081.0,18.0,40.8,0.4823,5186.0,13.9,755.0,230.0,35271.0,7459.0,16547.0,163.0,0.0,5.7,118.0,6817.0,2017
Jefferson County,Mississippi,72.689880296866,28,63,74.2,6448.0,47.0,852.0,15.1,34.9,0.5221,1582.0,12.7,295.0,112.0,21779.0,983.0,7463.0,63.0,9.0,9.6,227.0,2453.0,2017
Jefferson Davis County,Mississippi,72.489005097922,28,65,75.7,7175.0,32.5,1206.0,22.5,43.6,0.4949,3051.0,15.0,482.0,152.0,26736.0,4428.0,11639.0,290.0,39.0,10.7,210.0,4798.0,2017
Jones County,Mississippi,74.3747111153202,28,67,82.2,19831.0,21.6,6759.0,17.6,37.1,0.4812,17218.0,18.4,2328.0,493.0,38656.0,47069.0,68328.0,1154.0,2921.0,7.8,1089.0,24663.0,2017
Kemper County,Mississippi,75.9055915737949,28,69,80.0,6078.0,31.8,871.0,18.8,41.7,0.4814,2259.0,13.1,382.0,178.0,27016.0,3617.0,10082.0,102.0,171.0,6.8,280.0,3695.0,2017
Lafayette County,Mississippi,77.3465663911233,28,71,89.5,12579.0,25.3,8216.0,10.8,29.3,0.5163,11323.0,41.9,1481.0,143.0,45019.0,37814.0,52744.0,3242.0,1314.0,5.7,595.0,19767.0,2017
Lamar County,Mississippi,78.3119451705558,28,73,90.6,12076.0,16.3,7015.0,15.4,34.7,0.465,15764.0,35.9,1948.0,318.0,56129.0,46017.0,60517.0,1771.0,1543.0,9.2,655.0,22022.0,2017
Lauderdale County,Mississippi,74.3142186463745,28,75,86.2,33518.0,21.5,10281.0,19.6,37.7,0.49,19466.0,20.1,3229.0,811.0,41340.0,42612.0,78221.0,2037.0,1751.0,7.2,1763.0,29892.0,2017
Lawrence County,Mississippi,73.0182128937996,28,77,81.4,4205.0,19.8,1005.0,15.5,40.4,0.4818,3385.0,13.8,316.0,130.0,40432.0,8345.0,12659.0,224.0,68.0,9.3,129.0,4822.0,2017
Leake County,Mississippi,73.8209876959739,28,79,78.3,9719.0,25.1,2306.0,20.8,35.8,0.4841,5738.0,12.1,840.0,289.0,35578.0,11748.0,22936.0,378.0,1015.0,9.2,349.0,8228.0,2017
Lee County,Mississippi,74.3497617163344,28,81,83.2,24499.0,17.3,10632.0,16.7,37.0,0.4608,21994.0,23.5,2736.0,608.0,45985.0,57917.0,84840.0,2471.0,2167.0,6.3,1564.0,32485.0,2017
Leflore County,Mississippi,70.9186274275444,28,83,78.2,22053.0,40.3,5332.0,11.2,33.1,0.5431,6397.0,17.9,1665.0,253.0,25210.0,7386.0,30113.0,1346.0,773.0,12.0,1225.0,10477.0,2017
Lincoln County,Mississippi,73.4430021565852,28,85,86.6,10641.0,23.6,3215.0,15.7,37.8,0.4668,9030.0,15.0,1133.0,418.0,37308.0,23567.0,34542.0,507.0,369.0,7.5,320.0,12806.0,2017
Lowndes County,Mississippi,74.916652954213,28,87,84.7,25925.0,21.1,8758.0,13.9,36.6,0.458,15453.0,23.6,2400.0,387.0,43198.0,32099.0,59558.0,1829.0,1201.0,11.4,1139.0,22630.0,2017
Madison County,Mississippi,75.4025831376784,28,89,90.9,39113.0,12.0,11271.0,9.6,37.0,0.4835,27918.0,46.5,3360.0,283.0,68600.0,57872.0,102212.0,2477.0,2926.0,5.1,1094.0,38405.0,2017
Marion County,Mississippi,71.7144498464038,28,91,77.9,8183.0,25.9,2066.0,20.7,39.9,0.4992,6611.0,12.9,715.0,289.0,30998.0,16748.0,25466.0,480.0,379.0,8.3,471.0,9667.0,2017
Marshall County,Mississippi,73.3256885581918,28,93,79.4,17150.0,17.8,3156.0,13.6,39.9,0.4286,8915.0,13.1,1125.0,286.0,41134.0,17745.0,35981.0,582.0,1256.0,6.2,408.0,13084.0,2017
Monroe County,Mississippi,74.8414542801705,28,95,79.9,10846.0,19.2,3520.0,16.7,41.0,0.4621,9479.0,16.5,1084.0,372.0,39444.0,24441.0,35967.0,611.0,421.0,7.4,617.0,14042.0,2017
Montgomery County,Mississippi,72.9864741402993,28,97,80.2,4342.0,25.6,1174.0,22.0,42.6,0.5009,3207.0,21.0,611.0,122.0,34983.0,5565.0,10309.0,307.0,235.0,9.1,187.0,4524.0,2017
Neshoba County,Mississippi,71.0667161615236,28,99,78.2,6152.0,22.1,2856.0,21.2,36.7,0.4589,7450.0,14.1,1233.0,363.0,36755.0,17711.0,29437.0,551.0,573.0,8.5,408.0,10773.0,2017
Newton County,Mississippi,73.3814139310264,28,101,83.3,6426.0,23.0,1791.0,20.1,37.2,0.4973,5817.0,16.3,960.0,272.0,37643.0,13483.0,21437.0,337.0,387.0,7.7,264.0,8010.0,2017
Noxubee County,Mississippi,74.2250822953941,28,103,68.2,7887.0,34.9,1042.0,20.6,36.0,0.4915,2699.0,12.9,452.0,232.0,30808.0,2982.0,10942.0,226.0,148.0,14.8,337.0,4002.0,2017
Oktibbeha County,Mississippi,77.6279992782176,28,105,88.1,18328.0,29.8,8137.0,11.4,25.4,0.5377,8854.0,42.6,1123.0,413.0,37348.0,28496.0,49392.0,2773.0,813.0,9.5,744.0,17393.0,2017
Panola County,Mississippi,72.4202562324254,28,107,77.8,17258.0,20.5,3388.0,17.6,37.0,0.4765,8125.0,14.4,1043.0,399.0,35891.0,16585.0,34229.0,623.0,599.0,7.6,484.0,12449.0,2017
Pearl River County,Mississippi,74.0341216811759,28,109,84.2,7094.0,17.9,4852.0,19.4,41.0,0.4315,14909.0,15.0,1433.0,588.0,44734.0,46332.0,55049.0,785.0,1635.0,10.0,599.0,20710.0,2017
Perry County,Mississippi,73.7672706512147,28,111,80.7,2380.0,19.9,804.0,25.4,40.7,0.4707,3079.0,10.6,297.0,130.0,35374.0,9488.0,12047.0,68.0,172.0,10.2,176.0,4476.0,2017
Pike County,Mississippi,71.8840983530055,28,113,80.7,21194.0,32.3,4730.0,18.6,37.0,0.5033,9440.0,15.9,1715.0,527.0,30949.0,17788.0,39763.0,988.0,622.0,7.7,861.0,14962.0,2017
Pontotoc County,Mississippi,76.1852044418433,28,115,76.0,4742.0,17.0,2990.0,18.2,36.8,0.4403,7705.0,14.9,879.0,294.0,41865.0,24529.0,31075.0,470.0,1940.0,6.3,215.0,10845.0,2017
Prentiss County,Mississippi,74.0360726996079,28,117,78.2,3401.0,22.5,2778.0,21.7,39.5,0.4759,6536.0,12.3,666.0,191.0,32854.0,21312.0,25389.0,427.0,353.0,7.0,397.0,9533.0,2017
Quitman County,Mississippi,70.1935616428145,28,119,69.2,5351.0,37.5,1059.0,16.3,37.9,0.4736,1886.0,11.8,344.0,131.0,25671.0,2106.0,7537.0,166.0,98.0,24.3,222.0,3072.0,2017
Rankin County,Mississippi,78.377978755344,28,121,89.7,29965.0,8.5,13674.0,13.2,37.2,0.4146,39866.0,29.2,3495.0,582.0,61605.0,114455.0,149645.0,1784.0,3965.0,4.5,774.0,55226.0,2017
Scott County,Mississippi,73.7736070591126,28,123,74.2,10930.0,27.8,2919.0,20.7,36.5,0.5327,7008.0,12.7,1233.0,626.0,33601.0,16374.0,28399.0,409.0,3069.0,10.9,773.0,10096.0,2017
Sharkey County,Mississippi,71.9376042149017,28,125,75.3,3350.0,29.0,685.0,19.2,39.6,0.4582,1086.0,21.5,154.0,113.0,30033.0,1245.0,4631.0,39.0,28.0,14.9,122.0,1809.0,2017
Simpson County,Mississippi,73.532840232522,28,127,79.3,9944.0,27.1,1962.0,18.5,38.9,0.4758,6647.0,13.3,850.0,418.0,37591.0,16878.0,27215.0,359.0,137.0,9.9,280.0,9322.0,2017
Smith County,Mississippi,74.8479859096662,28,129,80.2,3809.0,18.2,1112.0,19.0,40.1,0.4882,4185.0,11.0,337.0,217.0,37697.0,12241.0,16114.0,241.0,265.0,4.7,165.0,5850.0,2017
Stone County,Mississippi,73.7774756952029,28,131,82.6,3463.0,17.3,1289.0,18.9,37.4,0.4571,4519.0,15.0,385.0,123.0,46283.0,14154.0,17981.0,110.0,345.0,5.6,69.0,5979.0,2017
Sunflower County,Mississippi,70.6839874683612,28,133,72.2,19911.0,32.5,3721.0,14.6,34.9,0.4848,5640.0,14.5,1168.0,294.0,28556.0,6715.0,26915.0,871.0,434.0,17.6,604.0,8505.0,2017
Tallahatchie County,Mississippi,72.9303593427516,28,135,70.9,6872.0,28.3,973.0,18.5,34.7,0.5004,2779.0,10.1,388.0,228.0,30000.0,5174.0,14552.0,63.0,2176.0,13.7,224.0,4296.0,2017
Tate County,Mississippi,74.5522365006285,28,137,80.5,8511.0,19.3,2384.0,15.8,37.7,0.4413,7158.0,16.1,841.0,284.0,46233.0,18804.0,28333.0,487.0,715.0,7.7,237.0,10016.0,2017
Tippah County,Mississippi,73.2544252186087,28,139,77.6,3734.0,22.8,2124.0,19.9,38.6,0.4378,5977.0,14.5,551.0,237.0,39351.0,17496.0,21993.0,222.0,1026.0,8.9,228.0,8204.0,2017
Tishomingo County,Mississippi,72.3206300234417,28,141,79.1,488.0,18.6,1835.0,23.0,42.6,0.4324,5424.0,11.5,360.0,248.0,36672.0,18472.0,19476.0,323.0,571.0,10.8,167.0,7606.0,2017
Tunica County,Mississippi,70.5194849511801,28,143,78.7,8066.0,27.0,2489.0,13.9,32.9,0.5038,2698.0,17.1,817.0,92.0,32052.0,2011.0,10276.0,589.0,77.0,10.2,278.0,3983.0,2017
Union County,Mississippi,75.3355759758246,28,145,78.3,4196.0,18.2,2755.0,18.1,37.9,0.4287,7054.0,14.7,721.0,182.0,40076.0,22879.0,28202.0,447.0,1197.0,8.3,397.0,9927.0,2017
Walthall County,Mississippi,73.5584059198276,28,147,80.2,6713.0,26.3,623.0,18.7,40.3,0.5614,3631.0,10.3,406.0,181.0,31077.0,7789.0,14670.0,78.0,87.0,6.7,101.0,5903.0,2017
Warren County,Mississippi,73.6814403064106,28,149,87.2,23850.0,23.7,6742.0,14.8,38.2,0.4617,12212.0,22.9,1906.0,435.0,41635.0,22808.0,47510.0,1702.0,282.0,7.9,985.0,18559.0,2017
Washington County,Mississippi,70.7749959140637,28,151,78.8,34492.0,33.7,8304.0,18.7,36.7,0.538,11502.0,19.0,2379.0,755.0,29387.0,12442.0,48002.0,2126.0,697.0,16.8,1607.0,18249.0,2017
Wayne County,Mississippi,74.6612919839401,28,153,75.1,8289.0,24.3,1487.0,23.6,37.4,0.4942,5728.0,12.6,631.0,349.0,35215.0,11831.0,20458.0,189.0,131.0,10.4,136.0,7762.0,2017
Webster County,Mississippi,72.3855963624167,28,155,85.2,1893.0,25.3,979.0,22.9,39.9,0.474,2737.0,18.1,352.0,85.0,35634.0,7822.0,9868.0,235.0,145.0,9.4,137.0,3842.0,2017
Wilkinson County,Mississippi,71.5034544609628,28,157,69.8,6477.0,38.7,556.0,23.2,37.3,0.4977,1760.0,14.9,277.0,217.0,23340.0,2537.0,9084.0,89.0,26.0,12.5,124.0,2882.0,2017
Winston County,Mississippi,74.0695920128204,28,159,79.1,8742.0,25.3,2070.0,19.2,42.0,0.5394,5195.0,15.9,706.0,342.0,33313.0,9343.0,18482.0,515.0,215.0,9.9,348.0,7411.0,2017
Yalobusha County,Mississippi,72.2999605452242,28,161,81.0,4988.0,22.6,1310.0,19.2,41.8,0.4248,3512.0,14.0,426.0,172.0,37647.0,7282.0,12426.0,199.0,187.0,5.3,189.0,5196.0,2017
Yazoo County,Mississippi,73.2756738910349,28,163,76.4,15672.0,36.5,3289.0,18.0,35.7,0.5388,5707.0,14.3,1210.0,280.0,28330.0,10529.0,27496.0,537.0,1551.0,15.9,646.0,8642.0,2017
Adair County,Missouri,77.4368641875169,29,1,90.5,617.0,26.2,3905.0,12.0,27.3,0.5143,5129.0,31.0,429.0,169.0,38750.0,23443.0,25437.0,1297.0,596.0,5.5,602.0,9595.0,2017
Andrew County,Missouri,78.8479037322724,29,3,91.3,308.0,9.0,1556.0,14.0,42.5,0.4182,4908.0,25.1,214.0,121.0,56658.0,16650.0,17358.0,156.0,399.0,4.2,92.0,6874.0,2017
Atchison County,Missouri,77.5544227294247,29,5,89.6,20.0,12.1,731.0,18.5,47.8,0.4366,1435.0,23.3,120.0,56.0,45259.0,5214.0,5335.0,82.0,66.0,4.1,105.0,2492.0,2017
Audrain County,Missouri,76.3141519215107,29,7,84.7,1572.0,16.7,3021.0,14.3,39.6,0.4306,6062.0,13.7,625.0,215.0,44056.0,23046.0,25763.0,363.0,754.0,7.4,343.0,9457.0,2017
Barry County,Missouri,75.6329956321462,29,9,81.6,115.0,20.5,3343.0,18.9,43.2,0.4392,9393.0,12.8,609.0,225.0,40638.0,33126.0,35398.0,777.0,3169.0,8.0,469.0,13091.0,2017
Barton County,Missouri,77.0428070020365,29,11,87.3,28.0,20.9,1521.0,19.3,40.6,0.4617,3302.0,17.4,303.0,176.0,41184.0,11184.0,11942.0,219.0,300.0,5.4,270.0,4939.0,2017
Bates County,Missouri,76.0127251195747,29,13,85.8,205.0,14.3,1765.0,18.0,41.6,0.4572,4565.0,15.0,283.0,136.0,45605.0,15726.0,16405.0,250.0,340.0,5.2,173.0,6704.0,2017
Benton County,Missouri,75.9188509462703,29,15,84.5,67.0,18.6,1487.0,26.2,53.2,0.431,5280.0,11.6,246.0,232.0,35097.0,18307.0,18918.0,415.0,358.0,9.7,289.0,7982.0,2017
Bollinger County,Missouri,76.0949557517719,29,17,79.8,53.0,19.9,933.0,22.8,43.9,0.4484,3424.0,9.4,274.0,135.0,40791.0,12068.0,12347.0,144.0,149.0,5.1,76.0,4805.0,2017
Boone County,Missouri,79.6841170572811,29,19,93.5,14901.0,18.7,31156.0,11.3,30.6,0.4759,39527.0,45.9,4214.0,551.0,52005.0,142131.0,174589.0,8468.0,5729.0,4.4,3605.0,68898.0,2017
Buchanan County,Missouri,76.1394873951461,29,21,88.3,4964.0,17.3,12258.0,15.5,37.1,0.4433,20705.0,19.9,2838.0,821.0,48652.0,78839.0,89425.0,2457.0,5706.0,5.7,2254.0,33304.0,2017
Butler County,Missouri,73.3306255820332,29,23,83.5,2305.0,21.6,6071.0,25.1,40.3,0.4707,11126.0,15.9,1208.0,228.0,37878.0,38836.0,42826.0,1130.0,860.0,9.2,1160.0,16550.0,2017
Caldwell County,Missouri,76.8245885130729,29,25,89.7,46.0,13.3,931.0,17.4,42.9,0.4175,2463.0,17.4,180.0,76.0,44975.0,8699.0,9046.0,189.0,188.0,3.8,142.0,3741.0,2017
Callaway County,Missouri,77.2834832719989,29,27,86.0,1937.0,12.3,4542.0,15.3,38.3,0.4026,10633.0,21.6,1154.0,227.0,53180.0,41099.0,44793.0,868.0,894.0,4.3,624.0,16105.0,2017
Camden County,Missouri,78.9748062382415,29,29,88.8,355.0,17.5,3306.0,17.5,51.0,0.4442,11906.0,22.0,533.0,353.0,50496.0,43154.0,44855.0,627.0,1212.0,8.0,248.0,16340.0,2017
Cape Girardeau County,Missouri,77.6556577398242,29,31,90.3,6172.0,17.7,10260.0,13.7,36.3,0.4569,18634.0,29.8,1635.0,349.0,49554.0,68620.0,78013.0,2182.0,1781.0,5.3,1483.0,29613.0,2017
Carroll County,Missouri,76.4130061963677,29,33,85.8,77.0,18.4,955.0,17.5,42.8,0.4712,2441.0,17.1,241.0,108.0,43583.0,8553.0,8909.0,125.0,134.0,8.2,171.0,3618.0,2017
Carter County,Missouri,73.6145869296406,29,35,79.4,1.0,14.5,657.0,21.5,41.3,0.4646,1510.0,12.3,183.0,125.0,37875.0,5967.0,6255.0,112.0,142.0,6.9,108.0,2403.0,2017
Cass County,Missouri,78.2965269578781,29,37,92.4,3795.0,9.5,9494.0,13.2,39.5,0.4042,28283.0,25.8,2056.0,424.0,65352.0,93505.0,101888.0,1590.0,4302.0,4.9,1008.0,38706.0,2017
Cedar County,Missouri,75.2483157309263,29,39,83.8,9.0,22.6,1742.0,23.3,44.0,0.4592,3720.0,13.8,335.0,78.0,35930.0,13392.0,13862.0,313.0,278.0,11.2,156.0,5879.0,2017
Chariton County,Missouri,78.5567561126019,29,41,88.5,181.0,14.2,656.0,18.4,45.7,0.4613,1849.0,16.4,84.0,42.0,43186.0,7266.0,7586.0,120.0,66.0,3.7,76.0,2842.0,2017
Christian County,Missouri,79.066808688661,29,43,91.7,474.0,10.4,7975.0,12.7,37.6,0.4058,22778.0,27.9,1896.0,367.0,55761.0,79335.0,83028.0,1178.0,2325.0,5.3,455.0,30774.0,2017
Clark County,Missouri,76.7423559527894,29,45,85.4,18.0,15.3,724.0,13.9,43.8,0.4608,1989.0,13.2,147.0,105.0,45216.0,6651.0,6807.0,36.0,35.0,4.6,89.0,2907.0,2017
Clay County,Missouri,79.2640796347556,29,47,92.9,13471.0,8.9,27742.0,11.8,36.8,0.4112,60335.0,31.9,5595.0,1043.0,65675.0,203006.0,236068.0,4779.0,15590.0,4.4,2597.0,89709.0,2017
Clinton County,Missouri,76.2103739121877,29,49,92.7,409.0,11.0,2038.0,12.5,41.1,0.3888,5907.0,18.5,519.0,158.0,57591.0,19518.0,20495.0,302.0,410.0,3.8,139.0,8185.0,2017
Cole County,Missouri,78.6718935526162,29,51,91.4,8946.0,12.6,9735.0,13.4,38.2,0.4298,18810.0,31.4,2203.0,404.0,54216.0,63891.0,76749.0,1555.0,2118.0,4.4,1621.0,29642.0,2017
Cooper County,Missouri,77.4455271409324,29,53,88.8,1144.0,11.2,1843.0,15.2,39.2,0.4016,4118.0,20.7,418.0,110.0,46547.0,15691.0,17620.0,289.0,314.0,5.0,198.0,6410.0,2017
Crawford County,Missouri,74.6636031101479,29,55,76.7,64.0,20.0,2646.0,21.8,41.6,0.4504,6136.0,11.2,542.0,73.0,37171.0,23615.0,24387.0,538.0,459.0,11.6,241.0,9286.0,2017
Dade County,Missouri,75.6866345095531,29,57,87.6,30.0,22.9,663.0,19.5,46.7,0.4095,2130.0,15.1,133.0,46.0,38880.0,7251.0,7581.0,112.0,151.0,9.3,89.0,3107.0,2017
Dallas County,Missouri,75.8661861593595,29,59,81.2,14.0,15.7,1650.0,24.2,43.5,0.4356,4514.0,12.1,243.0,160.0,41441.0,15759.0,16441.0,225.0,319.0,7.8,226.0,6156.0,2017
Daviess County,Missouri,77.2827618942041,29,61,84.3,65.0,13.2,657.0,15.8,41.3,0.4216,2075.0,17.3,103.0,175.0,45707.0,8078.0,8300.0,79.0,124.0,3.5,65.0,3083.0,2017
DeKalb County,Missouri,78.1158695280235,29,63,87.1,1231.0,12.5,1292.0,15.3,40.5,0.4243,2505.0,14.5,179.0,46.0,46517.0,10813.0,12564.0,222.0,282.0,3.4,184.0,3854.0,2017
