County,State,mean_life_expectancy,State_FIPS,County_FIPS,Unemployment Rate,No Vehicle (Renter),Total Occupied Households,White Population,Total Population,Rent Burden Count (+50%),Hispanic Population,Total Families (Single Mother),No Vehicle (Owner),Median Household Income,Median Age,Gini Index,Total Families,Bachelor's Degree or Higher (%),Rent Denominator,Disability Rate,Poverty Rate,High School Degree or Higher (%),Black Population,Year
Scotts Bluff County,Nebraska,77.4661134391143,31,157,5.1,537.0,14613.0,33318.0,36255.0,797.0,8590.0,1142.0,213.0,50157.0,39.5,0.4602,9499.0,22.4,4531.0,14.5,13.4,87.5,304.0,2018
Seward County,Nebraska,79.0741243084891,31,159,2.1,167.0,6596.0,16484.0,17127.0,326.0,457.0,281.0,43.0,67591.0,37.9,0.3992,4512.0,29.2,1849.0,10.6,7.5,94.1,82.0,2018
Sheridan County,Nebraska,77.8553274391316,31,161,2.4,101.0,2251.0,4331.0,5234.0,72.0,261.0,103.0,66.0,41719.0,45.9,0.477,1372.0,23.6,641.0,18.0,18.0,90.4,40.0,2018
Sherman County,Nebraska,79.3986775475706,31,163,1.8,15.0,1358.0,2980.0,3042.0,10.0,66.0,32.0,15.0,51172.0,49.9,0.3968,854.0,18.2,315.0,15.7,11.4,93.0,0.0,2018
Sioux County,Nebraska,83.0691463667531,31,165,1.1,9.0,579.0,1164.0,1266.0,10.0,6.0,30.0,25.0,46875.0,47.0,0.402,388.0,26.6,156.0,9.3,10.7,93.3,6.0,2018
Stanton County,Nebraska,80.998214361062,31,167,2.9,14.0,2410.0,5811.0,5992.0,94.0,318.0,172.0,38.0,62687.0,41.2,0.411,1781.0,16.6,409.0,11.3,8.8,93.0,85.0,2018
Thayer County,Nebraska,78.3873954991961,31,169,1.1,89.0,2283.0,4948.0,5098.0,45.0,119.0,87.0,12.0,50734.0,47.0,0.4002,1488.0,19.8,486.0,15.2,8.4,92.7,23.0,2018
Thurston County,Nebraska,73.5471868691476,31,173,15.0,114.0,2175.0,2801.0,7140.0,140.0,398.0,275.0,53.0,48149.0,27.8,0.4761,1613.0,16.7,877.0,12.6,28.3,87.6,19.0,2018
Valley County,Nebraska,80.0816732723295,31,175,1.7,72.0,1840.0,4148.0,4224.0,69.0,132.0,63.0,12.0,55170.0,45.5,0.4459,1237.0,22.8,475.0,15.7,10.6,92.5,20.0,2018
Washington County,Nebraska,80.0741390529234,31,177,2.4,311.0,8125.0,19598.0,20219.0,190.0,584.0,341.0,57.0,70753.0,41.4,0.4039,5800.0,30.3,1728.0,14.4,8.1,95.7,233.0,2018
Wayne County,Nebraska,82.7285182880321,31,179,1.9,90.0,3657.0,8905.0,9367.0,473.0,541.0,152.0,15.0,62623.0,31.8,0.4235,2320.0,34.5,1311.0,10.0,14.2,95.8,166.0,2018
Webster County,Nebraska,77.3950167156071,31,181,2.4,49.0,1519.0,3401.0,3571.0,31.0,176.0,83.0,28.0,42298.0,45.2,0.463,936.0,22.6,341.0,15.4,11.0,92.2,9.0,2018
York County,Nebraska,79.7553556432806,31,185,2.9,239.0,5691.0,13113.0,13799.0,210.0,691.0,190.0,35.0,59779.0,40.2,0.4588,3665.0,28.1,1669.0,14.0,10.1,93.7,210.0,2018
Churchill County,Nevada,75.8724947090834,32,1,7.2,258.0,9819.0,20192.0,24010.0,491.0,3260.0,515.0,191.0,51514.0,39.5,0.4112,6324.0,17.5,3363.0,14.3,12.8,90.9,588.0,2018
Clark County,Nevada,78.6221459288642,32,3,7.2,54533.0,767954.0,1299138.0,2141574.0,83206.0,662081.0,56603.0,9857.0,56802.0,37.1,0.4614,488867.0,23.9,359907.0,12.2,14.1,85.7,245827.0,2018
Douglas County,Nevada,81.1881355936548,32,5,5.2,332.0,20579.0,42695.0,47828.0,1203.0,5981.0,816.0,174.0,62503.0,51.5,0.4382,14016.0,28.9,6203.0,15.3,9.3,93.7,312.0,2018
Elko County,Nevada,78.6654169072217,32,7,4.5,440.0,17688.0,45135.0,52252.0,386.0,12667.0,966.0,164.0,77209.0,33.9,0.3866,12477.0,18.2,4895.0,11.8,11.9,85.2,289.0,2018
Eureka County,Nevada,77.8012234800695,32,11,0.0,42.0,750.0,1725.0,1830.0,9.0,120.0,26.0,0.0,77625.0,47.3,0.3971,525.0,11.7,201.0,18.0,7.7,93.2,1.0,2018
Humboldt County,Nevada,76.947350136091,32,13,5.3,115.0,6271.0,14803.0,16904.0,229.0,4521.0,331.0,101.0,70373.0,35.6,0.3659,4228.0,16.3,1548.0,11.3,11.5,83.6,70.0,2018
Lander County,Nevada,76.9989835691092,32,15,9.3,173.0,2087.0,5178.0,5746.0,72.0,1498.0,225.0,63.0,93583.0,37.2,0.3551,1547.0,11.6,407.0,11.0,14.9,84.9,6.0,2018
Lincoln County,Nevada,78.1894865818084,32,17,10.6,71.0,2041.0,4614.0,5174.0,97.0,442.0,71.0,0.0,56414.0,45.2,0.368,1297.0,17.7,539.0,21.1,6.8,85.6,192.0,2018
Lyon County,Nevada,76.3369808292113,32,19,8.7,574.0,20528.0,45271.0,53155.0,1028.0,8843.0,758.0,299.0,55493.0,44.1,0.3962,13488.0,14.0,6004.0,17.9,11.6,87.1,537.0,2018
Mineral County,Nevada,74.4348721721963,32,21,14.8,139.0,1938.0,2975.0,4448.0,47.0,537.0,144.0,38.0,41163.0,50.1,0.4289,1110.0,14.4,616.0,18.7,23.6,87.1,111.0,2018
Nye County,Nevada,73.9082046979141,32,23,9.4,497.0,18668.0,36290.0,43705.0,874.0,6286.0,536.0,195.0,45711.0,52.7,0.4194,11015.0,11.5,5416.0,24.3,16.2,85.8,1053.0,2018
Pershing County,Nevada,78.0621900857741,32,27,7.0,75.0,1933.0,5369.0,6611.0,64.0,1597.0,103.0,67.0,50846.0,43.4,0.4214,1351.0,14.8,510.0,14.1,15.1,81.7,292.0,2018
Storey County,Nevada,82.528877886605,32,29,4.3,0.0,1598.0,3519.0,3941.0,21.0,203.0,78.0,18.0,62284.0,52.9,0.4175,1042.0,28.7,200.0,22.3,7.9,94.8,32.0,2018
Washoe County,Nevada,78.2653417424194,32,31,5.6,9973.0,177632.0,355208.0,450486.0,14778.0,108922.0,10495.0,2113.0,61155.0,38.1,0.4581,109643.0,30.5,74540.0,12.1,12.2,88.3,10330.0,2018
White Pine County,Nevada,77.5162986034553,32,33,3.8,58.0,3529.0,8335.0,9737.0,94.0,1522.0,177.0,35.0,62993.0,39.2,0.3983,2215.0,14.9,921.0,16.1,10.9,85.9,518.0,2018
Carson City,Nevada,75.2373349309427,32,510,6.2,1060.0,22461.0,43725.0,54467.0,1706.0,12931.0,1417.0,246.0,52034.0,42.8,0.4543,13831.0,22.3,9950.0,21.9,13.7,87.3,954.0,2018
Belknap County,New Hampshire,78.016249444316,33,1,4.7,800.0,24739.0,58506.0,60640.0,1297.0,990.0,1093.0,449.0,68368.0,47.1,0.4292,16404.0,32.4,5712.0,15.8,8.7,92.6,415.0,2018
Carroll County,New Hampshire,79.6212793175012,33,3,3.6,636.0,21070.0,46509.0,47840.0,847.0,678.0,861.0,458.0,61116.0,51.7,0.4503,13561.0,33.6,4344.0,15.6,9.6,93.8,226.0,2018
Cheshire County,New Hampshire,79.2440699026094,33,5,3.8,1148.0,30319.0,72655.0,76263.0,1897.0,1354.0,1452.0,542.0,63057.0,42.7,0.4563,18629.0,32.6,9150.0,13.8,9.9,93.0,587.0,2018
Coos County,New Hampshire,76.5491888957549,33,7,5.6,618.0,13720.0,30086.0,32038.0,832.0,938.0,788.0,398.0,45696.0,48.1,0.4356,8394.0,18.1,3991.0,20.8,12.8,88.6,920.0,2018
Grafton County,New Hampshire,80.4985240487219,33,9,3.4,1643.0,34752.0,83035.0,89811.0,1868.0,2089.0,1433.0,432.0,63153.0,42.9,0.4773,21455.0,40.5,10780.0,14.5,9.9,92.8,1116.0,2018
Hillsborough County,New Hampshire,79.4721831592188,33,11,4.3,7470.0,159200.0,368550.0,411087.0,11810.0,26843.0,9021.0,1832.0,78655.0,40.5,0.4299,105483.0,37.3,54201.0,11.7,8.1,91.8,11530.0,2018
Merrimack County,New Hampshire,79.2950167409148,33,13,3.9,2231.0,57843.0,140759.0,149452.0,3471.0,3104.0,2951.0,709.0,72478.0,42.8,0.4285,38526.0,35.6,16446.0,13.6,7.2,93.7,1957.0,2018
Rockingham County,New Hampshire,80.4012427345475,33,15,3.7,2567.0,120147.0,289348.0,305129.0,5181.0,8713.0,5542.0,1207.0,90429.0,44.3,0.4199,84161.0,40.7,27570.0,10.6,4.7,94.8,2295.0,2018
Strafford County,New Hampshire,78.1489575752385,33,17,4.1,2537.0,48548.0,119002.0,128237.0,3970.0,3003.0,2154.0,549.0,70650.0,36.9,0.432,30664.0,35.6,16361.0,12.5,10.0,92.5,1111.0,2018
Sullivan County,New Hampshire,78.7549906376338,33,19,3.7,814.0,17740.0,41564.0,43125.0,917.0,644.0,1138.0,260.0,60780.0,46.1,0.4179,11628.0,26.8,4765.0,13.8,10.8,91.1,359.0,2018
Atlantic County,New Jersey,77.5686668388061,34,1,9.6,10329.0,99874.0,178914.0,268539.0,9297.0,50129.0,8643.0,2808.0,59989.0,41.5,0.4615,66553.0,27.4,32538.0,13.5,14.3,86.9,40319.0,2018
Bergen County,New Jersey,83.1457653000287,34,3,4.5,20867.0,338249.0,663672.0,929999.0,28705.0,180529.0,14871.0,6915.0,95837.0,41.8,0.4776,244841.0,48.3,120368.0,8.1,7.0,92.2,55497.0,2018
Burlington County,New Jersey,79.6753869979683,34,5,6.3,4609.0,165496.0,322158.0,446367.0,9123.0,35026.0,9239.0,3022.0,84992.0,41.5,0.4344,115969.0,37.5,40141.0,11.7,6.5,93.6,74431.0,2018
Camden County,New Jersey,77.5540325914464,34,7,7.1,16013.0,187158.0,320830.0,507367.0,17762.0,83057.0,16176.0,5240.0,67118.0,38.7,0.4693,125116.0,31.8,62318.0,13.4,12.6,88.4,97896.0,2018
Cape May County,New Jersey,77.412185736206,34,9,7.7,1875.0,39904.0,85531.0,93705.0,2595.0,6988.0,1682.0,1139.0,63690.0,49.3,0.4809,26127.0,31.5,8944.0,14.1,11.1,91.2,4358.0,2018
Cumberland County,New Jersey,75.7098061205668,34,11,7.3,4156.0,50608.0,103099.0,153400.0,5939.0,46254.0,5670.0,1032.0,52593.0,37.2,0.4512,34788.0,14.7,18006.0,14.0,17.6,77.9,29573.0,2018
Essex County,New Jersey,79.8252847481357,34,13,9.2,56357.0,282502.0,334450.0,793555.0,45910.0,180241.0,28795.0,6477.0,59302.0,37.5,0.5529,182151.0,34.8,157629.0,11.6,16.4,85.7,316192.0,2018
Gloucester County,New Jersey,78.1331206056522,34,15,6.3,4253.0,104587.0,237686.0,290852.0,6155.0,17292.0,5280.0,1950.0,85160.0,40.3,0.4148,74097.0,31.9,20742.0,12.9,7.4,92.9,29956.0,2018
Hudson County,New Jersey,82.349847853185,34,17,6.1,71717.0,255429.0,368360.0,668631.0,39306.0,288749.0,20206.0,10544.0,66289.0,35.1,0.5049,158774.0,40.9,175047.0,9.2,16.3,84.2,83215.0,2018
Hunterdon County,New Jersey,83.427998555951,34,19,4.0,878.0,47180.0,113719.0,125051.0,2113.0,7942.0,1481.0,798.0,112535.0,46.2,0.4335,34597.0,52.0,7890.0,8.9,4.8,95.1,3369.0,2018
Mercer County,New Jersey,80.5288666860776,34,21,6.8,11802.0,129873.0,234759.0,368762.0,12256.0,63371.0,8752.0,2641.0,79990.0,38.7,0.4999,87942.0,42.0,46939.0,10.4,11.4,88.0,76176.0,2018
Middlesex County,New Jersey,81.7425141921375,34,23,5.6,16133.0,284174.0,487018.0,826698.0,24522.0,171616.0,15598.0,5558.0,85954.0,38.4,0.4319,208083.0,42.7,104200.0,9.1,8.5,89.8,84342.0,2018
Monmouth County,New Jersey,80.8520668534003,34,25,5.2,11434.0,233874.0,513711.0,623387.0,17201.0,66528.0,10677.0,4855.0,95699.0,43.2,0.4729,161885.0,44.9,61552.0,10.1,7.4,93.2,43959.0,2018
Morris County,New Jersey,82.6720302531243,34,27,4.7,5984.0,180896.0,403998.0,494383.0,8687.0,64765.0,6698.0,2515.0,111316.0,42.6,0.4579,129534.0,53.6,46296.0,8.4,4.6,94.3,16605.0,2018
Ocean County,New Jersey,79.215235531049,34,29,5.9,7065.0,225270.0,539689.0,591939.0,14165.0,53964.0,9424.0,7971.0,68021.0,42.9,0.4506,150050.0,29.2,45091.0,13.2,10.7,91.8,18185.0,2018
Passaic County,New Jersey,80.7840741923322,34,31,5.0,23795.0,163670.0,313306.0,504041.0,23991.0,206100.0,14344.0,3236.0,66476.0,37.0,0.4732,118949.0,28.1,77002.0,8.9,16.7,83.4,57437.0,2018
Salem County,New Jersey,76.2784495585658,34,33,7.3,1438.0,23908.0,51120.0,63336.0,2014.0,5475.0,1703.0,411.0,64309.0,42.0,0.4469,15687.0,20.9,7055.0,15.1,13.0,87.7,8353.0,2018
Somerset County,New Jersey,82.8029168388035,34,35,4.5,3616.0,117012.0,222500.0,330176.0,6625.0,47729.0,5087.0,1958.0,111772.0,41.6,0.4566,85297.0,54.5,28512.0,8.0,4.7,94.7,31853.0,2018
Sussex County,New Jersey,79.7733181381442,34,37,5.7,1054.0,53361.0,132221.0,142298.0,2231.0,11109.0,1881.0,789.0,90520.0,44.5,0.4098,38043.0,34.9,9354.0,10.8,5.1,94.8,3262.0,2018
Union County,New Jersey,81.6546233077387,34,39,6.3,17832.0,188987.0,310654.0,553066.0,19700.0,171745.0,15175.0,4039.0,77095.0,38.5,0.4973,135895.0,35.1,77698.0,9.2,9.8,86.2,117079.0,2018
Warren County,New Jersey,79.991864458029,34,41,6.3,1859.0,41350.0,94352.0,106293.0,2229.0,9411.0,1827.0,797.0,78145.0,44.0,0.4182,27990.0,31.8,11627.0,12.7,7.8,91.2,4707.0,2018
Bernalillo County,New Mexico,78.4253098966629,35,1,6.3,13824.0,265657.0,501468.0,677692.0,25140.0,337627.0,19755.0,3816.0,51643.0,37.3,0.4751,159289.0,33.9,98752.0,13.5,17.4,88.8,19260.0,2018
Catron County,New Mexico,79.6738765717489,35,3,0.0,0.0,1381.0,3504.0,3539.0,11.0,635.0,32.0,0.0,42480.0,59.1,0.3511,882.0,22.2,105.0,30.4,22.9,93.9,0.0,2018
Chaves County,New Mexico,75.8367975528453,35,5,5.9,757.0,23169.0,55609.0,65459.0,1121.0,36797.0,2234.0,302.0,43197.0,35.6,0.4596,15945.0,17.8,7176.0,16.6,20.6,78.0,1111.0,2018
Colfax County,New Mexico,77.9169328709913,35,7,9.3,286.0,5678.0,10673.0,12353.0,417.0,6105.0,347.0,77.0,33783.0,49.0,0.4482,3241.0,20.5,1764.0,22.5,23.8,89.2,67.0,2018
Curry County,New Mexico,76.97078114545,35,9,6.8,719.0,18515.0,33555.0,50199.0,1415.0,20872.0,1643.0,164.0,46182.0,31.1,0.4559,11973.0,19.8,7882.0,15.8,20.6,83.0,2717.0,2018
De Baca County,New Mexico,75.5998624100907,35,11,3.6,41.0,705.0,1536.0,2060.0,12.0,949.0,36.0,23.0,31028.0,37.0,0.441,354.0,9.8,237.0,22.9,16.8,86.3,33.0,2018
Dona Ana County,New Mexico,79.8534227477422,35,13,8.3,3574.0,77453.0,189377.0,215338.0,7498.0,146485.0,6889.0,1345.0,39164.0,32.9,0.4929,52524.0,27.5,29580.0,13.7,27.7,79.4,4087.0,2018
Eddy County,New Mexico,75.2904754645984,35,15,4.5,568.0,21264.0,52273.0,57437.0,625.0,27799.0,1595.0,477.0,62982.0,35.3,0.4269,15019.0,15.9,6207.0,13.4,15.3,84.5,891.0,2018
Grant County,New Mexico,77.6666811676828,35,17,7.6,506.0,12003.0,26268.0,28061.0,756.0,14127.0,893.0,308.0,37880.0,45.8,0.4905,7157.0,27.3,3567.0,19.1,21.8,87.1,197.0,2018
Guadalupe County,New Mexico,76.1943912069806,35,19,6.3,101.0,1404.0,3605.0,4382.0,28.0,3434.0,107.0,19.0,24085.0,42.6,0.468,689.0,11.6,486.0,23.1,14.5,79.9,59.0,2018
Hidalgo County,New Mexico,76.7132720850165,35,23,9.2,80.0,1753.0,4197.0,4371.0,103.0,2535.0,87.0,26.0,36339.0,43.3,0.4806,1142.0,14.2,520.0,21.6,28.1,79.2,27.0,2018
Lea County,New Mexico,75.8331081071853,35,25,6.4,695.0,22114.0,62145.0,70126.0,1314.0,40594.0,1810.0,319.0,59797.0,31.7,0.4402,16423.0,13.0,7141.0,11.8,16.6,72.9,2707.0,2018
Lincoln County,New Mexico,79.6075546489729,35,27,4.3,168.0,7815.0,18236.0,19482.0,333.0,6362.0,224.0,80.0,42267.0,51.0,0.4789,5015.0,29.3,1798.0,18.5,16.2,91.5,179.0,2018
Los Alamos County,New Mexico,83.5857336309642,35,28,3.5,165.0,7567.0,15686.0,18356.0,175.0,3236.0,227.0,125.0,115248.0,42.5,0.3941,5015.0,66.5,1956.0,9.4,5.3,97.8,36.0,2018
Luna County,New Mexico,75.5398566167275,35,29,12.0,670.0,9025.0,22208.0,24264.0,629.0,16164.0,523.0,268.0,27377.0,37.8,0.4835,5226.0,12.2,3565.0,20.9,30.2,68.6,336.0,2018
McKinley County,New Mexico,72.4486225485179,35,31,15.7,863.0,20295.0,10948.0,72849.0,1086.0,10434.0,2219.0,1423.0,31674.0,32.0,0.5172,14182.0,11.6,5869.0,16.7,36.0,75.4,488.0,2018
Mora County,New Mexico,77.8526910116324,35,33,7.4,1.0,1535.0,2684.0,4563.0,112.0,3701.0,23.0,107.0,26968.0,49.2,0.4806,865.0,11.2,380.0,27.6,19.3,91.6,1.0,2018
Otero County,New Mexico,77.829914100508,35,35,8.0,921.0,23391.0,51539.0,65745.0,1349.0,24999.0,1527.0,514.0,42752.0,35.6,0.4579,14488.0,19.0,8111.0,16.8,21.2,83.5,2358.0,2018
Quay County,New Mexico,75.4040017660444,35,37,6.1,136.0,3060.0,7551.0,8373.0,74.0,3781.0,229.0,61.0,27075.0,43.8,0.4598,1518.0,15.8,1114.0,22.5,22.1,82.8,128.0,2018
Rio Arriba County,New Mexico,73.9861189523383,35,39,,359.0,12398.0,21382.0,39307.0,,28046.0,928.0,404.0,,40.6,,7306.0,18.5,,16.1,,86.2,237.0,2018
Roosevelt County,New Mexico,77.6483283926092,35,41,9.1,249.0,6993.0,14215.0,19117.0,676.0,7941.0,555.0,115.0,40775.0,29.8,0.4514,4265.0,25.1,2725.0,17.2,25.6,80.9,522.0,2018
Sandoval County,New Mexico,78.9755245367137,35,43,7.7,722.0,50340.0,100391.0,140769.0,2491.0,54038.0,3016.0,744.0,59420.0,39.9,0.4293,34939.0,30.0,10912.0,13.2,14.3,89.7,3098.0,2018
San Juan County,New Mexico,76.3732563446492,35,45,8.9,1014.0,43134.0,66357.0,127455.0,2068.0,25619.0,3323.0,1254.0,50582.0,35.0,0.4518,30530.0,15.2,12148.0,14.8,21.3,84.2,816.0,2018
San Miguel County,New Mexico,76.8342785424056,35,47,6.4,528.0,11292.0,15503.0,28034.0,732.0,21757.0,891.0,420.0,31660.0,43.2,0.5035,5987.0,22.7,3251.0,28.5,27.7,81.2,376.0,2018
Santa Fe County,New Mexico,81.081579346914,35,49,4.5,1439.0,61972.0,124370.0,148917.0,3625.0,76404.0,3907.0,785.0,59192.0,45.8,0.4843,36678.0,40.9,18400.0,12.9,12.8,88.9,1496.0,2018
Sierra County,New Mexico,73.7818892326575,35,51,10.9,245.0,5377.0,10005.0,11135.0,292.0,3369.0,346.0,82.0,30451.0,56.0,0.5345,2761.0,20.5,1295.0,26.1,24.9,84.7,65.0,2018
Socorro County,New Mexico,76.0003433561776,35,53,4.7,260.0,4550.0,13312.0,17000.0,227.0,8445.0,239.0,163.0,36146.0,39.2,0.4782,2449.0,21.2,1199.0,26.5,29.1,79.1,63.0,2018
Taos County,New Mexico,79.16426515373,35,55,8.4,398.0,12127.0,28029.0,32888.0,755.0,18738.0,714.0,366.0,36758.0,48.2,0.4874,6974.0,28.0,2969.0,19.1,19.4,89.1,152.0,2018
Torrance County,New Mexico,76.6741336444047,35,57,5.2,121.0,5664.0,14278.0,15595.0,222.0,6679.0,233.0,100.0,37218.0,43.6,0.4542,3777.0,15.6,945.0,17.0,25.8,85.8,273.0,2018
Union County,New Mexico,77.0126053124796,35,59,1.5,74.0,1381.0,3543.0,4175.0,12.0,1746.0,87.0,43.0,37936.0,40.6,0.5052,805.0,12.7,416.0,21.0,14.1,80.0,82.0,2018
Cibola County,New Mexico,76.7229362141103,35,6,15.4,340.0,8939.0,12624.0,26978.0,340.0,10319.0,763.0,358.0,37368.0,36.8,0.4496,6222.0,13.4,2700.0,24.8,26.5,82.6,305.0,2018
Valencia County,New Mexico,76.7229362141103,35,61,8.4,345.0,27489.0,61391.0,75956.0,1073.0,45843.0,1997.0,578.0,45084.0,39.1,0.4361,19029.0,17.1,5310.0,19.3,19.5,83.0,839.0,2018
Albany County,New York,80.0746725287212,36,1,4.8,14948.0,126008.0,232402.0,307426.0,13402.0,17925.0,7803.0,2280.0,64535.0,37.9,0.4592,69288.0,41.3,54755.0,11.2,12.0,92.7,38407.0,2018
Allegany County,New York,78.4394658874037,36,3,6.1,983.0,18009.0,44860.0,47025.0,867.0,744.0,1056.0,661.0,47033.0,38.8,0.4157,11505.0,20.2,4476.0,16.0,17.0,90.0,652.0,2018
Bronx County,New York,80.4433191881885,36,5,10.5,270036.0,499728.0,306423.0,1437872.0,132931.0,803636.0,79723.0,22426.0,38085.0,33.9,0.5105,327543.0,19.8,401745.0,14.8,29.1,72.0,490823.0,2018
Broome County,New York,78.8505062807572,36,7,6.6,7777.0,78594.0,167041.0,194402.0,7773.0,7974.0,4817.0,1726.0,50859.0,39.8,0.4591,46416.0,28.3,27267.0,15.6,17.0,90.5,11177.0,2018
Cattaraugus County,New York,77.7429165500779,36,9,6.3,2536.0,31433.0,71439.0,77686.0,1948.0,1605.0,1914.0,1008.0,47240.0,42.0,0.4256,19741.0,19.1,8975.0,15.8,16.5,88.5,1247.0,2018
Cayuga County,New York,79.6182904674633,36,11,5.4,2663.0,31251.0,71522.0,77868.0,1981.0,2232.0,2349.0,641.0,56579.0,42.7,0.4267,19713.0,22.3,9062.0,14.8,11.7,87.7,3361.0,2018
Chautauqua County,New York,78.0274608514563,36,13,6.9,4348.0,52572.0,119857.0,129656.0,4409.0,9585.0,3425.0,1571.0,45332.0,42.5,0.447,32457.0,21.7,15770.0,15.5,18.7,88.9,3326.0,2018
Chemung County,New York,77.3341995646756,36,15,5.0,3253.0,34373.0,75443.0,85740.0,2718.0,2595.0,2492.0,593.0,53299.0,41.3,0.4486,21610.0,23.9,11024.0,15.4,14.8,90.3,5262.0,2018
Chenango County,New York,77.7453056347738,36,17,5.7,1187.0,20616.0,46395.0,48348.0,1117.0,1038.0,1147.0,463.0,50595.0,44.7,0.4279,12862.0,18.3,5246.0,19.2,14.3,88.2,472.0,2018
Clinton County,New York,79.4014378428834,36,19,4.8,2208.0,31395.0,73391.0,80794.0,2248.0,2310.0,2042.0,708.0,55178.0,39.3,0.4216,19706.0,22.9,10131.0,15.8,15.3,87.9,3475.0,2018
Columbia County,New York,79.8226625875271,36,21,4.9,1273.0,25243.0,54318.0,60919.0,1583.0,2827.0,1368.0,535.0,63032.0,47.8,0.4645,15781.0,31.3,7042.0,15.8,11.9,90.4,2688.0,2018
Cortland County,New York,78.6078114913621,36,23,4.5,1148.0,17685.0,45625.0,48123.0,1395.0,1278.0,897.0,327.0,54489.0,36.4,0.4354,11250.0,26.9,5975.0,13.1,15.5,90.7,712.0,2018
Delaware County,New York,79.1748873054693,36,25,5.1,1040.0,19030.0,43108.0,45502.0,1142.0,1742.0,1049.0,535.0,48827.0,47.5,0.4337,11674.0,21.9,4898.0,16.3,16.2,88.2,839.0,2018
Dutchess County,New York,80.9318662502287,36,27,5.9,6860.0,107347.0,230158.0,293894.0,9692.0,34970.0,5410.0,1918.0,78028.0,42.0,0.4453,71979.0,35.2,33538.0,13.1,9.1,90.5,30830.0,2018
Erie County,New York,78.5492599918306,36,29,4.8,40516.0,387847.0,716987.0,919866.0,35204.0,49413.0,27901.0,11085.0,55673.0,40.4,0.4668,228936.0,33.7,136609.0,13.2,14.5,91.4,123475.0,2018
Essex County,New York,80.0040153386776,36,31,5.8,853.0,15425.0,35186.0,37751.0,748.0,1133.0,903.0,414.0,56196.0,47.0,0.4302,9969.0,27.6,3762.0,16.8,9.5,91.1,1185.0,2018
Franklin County,New York,78.9876021252457,36,33,7.1,1359.0,19088.0,41778.0,50692.0,1147.0,1759.0,1282.0,475.0,51696.0,40.6,0.4492,12316.0,19.4,5259.0,15.4,18.2,86.8,2965.0,2018
Fulton County,New York,78.3758856594775,36,35,6.1,1481.0,22439.0,50849.0,53743.0,1334.0,1581.0,1499.0,610.0,50248.0,43.8,0.4228,14247.0,17.8,6403.0,15.9,15.5,87.4,1085.0,2018
Genesee County,New York,78.777157766567,36,37,4.7,1282.0,23681.0,53404.0,58112.0,1367.0,1849.0,1231.0,658.0,59338.0,43.3,0.4073,15165.0,21.5,6480.0,15.0,11.4,92.1,1304.0,2018
Greene County,New York,78.8848559034529,36,39,4.6,1147.0,17117.0,42731.0,47617.0,1347.0,2753.0,586.0,390.0,53617.0,45.8,0.4411,10179.0,22.1,4436.0,13.9,13.3,87.2,2936.0,2018
Hamilton County,New York,78.7258245958027,36,41,8.0,5.0,1124.0,4420.0,4575.0,32.0,71.0,25.0,46.0,57552.0,54.0,0.3933,751.0,19.3,161.0,25.6,6.9,82.6,37.0,2018
Herkimer County,New York,79.0848034920589,36,43,7.2,1659.0,24583.0,59916.0,62505.0,925.0,1309.0,1234.0,804.0,51862.0,44.0,0.4147,15656.0,21.0,6762.0,15.7,14.6,89.9,849.0,2018
Jefferson County,New York,78.415009175769,36,45,6.5,3099.0,43267.0,98570.0,114448.0,3538.0,8485.0,3202.0,739.0,52268.0,32.4,0.4181,28699.0,22.3,19159.0,14.2,14.2,91.1,6894.0,2018
Kings County,New York,82.7149005136971,36,47,7.0,452063.0,950856.0,1130251.0,2600747.0,193135.0,499279.0,74668.0,78947.0,56015.0,35.1,0.5273,585424.0,36.5,665526.0,10.2,21.1,81.6,847116.0,2018
Lewis County,New York,79.5985331351699,36,49,6.9,370.0,10242.0,25829.0,26719.0,566.0,456.0,534.0,167.0,52380.0,42.0,0.4126,7067.0,16.3,2131.0,14.5,14.1,89.8,206.0,2018
Livingston County,New York,80.1468856518494,36,51,4.2,1478.0,24383.0,59696.0,63907.0,2003.0,2223.0,1606.0,421.0,56071.0,40.8,0.415,15511.0,25.4,6480.0,13.0,13.6,89.7,1805.0,2018
Madison County,New York,80.6018906462573,36,53,4.7,997.0,26026.0,67574.0,71359.0,1052.0,1547.0,1367.0,470.0,60228.0,41.7,0.4212,16706.0,27.0,6061.0,12.7,9.9,91.2,1251.0,2018
Monroe County,New York,79.9985551933626,36,55,5.9,28702.0,300796.0,566271.0,744248.0,31082.0,63631.0,24467.0,5298.0,57479.0,38.9,0.4646,181700.0,37.7,109037.0,13.6,14.7,90.3,113538.0,2018
Montgomery County,New York,77.8869426702891,36,57,7.7,2009.0,19665.0,43412.0,49426.0,1762.0,6766.0,1542.0,673.0,45837.0,41.4,0.4576,12326.0,17.5,6290.0,16.4,19.9,85.8,1007.0,2018
Nassau County,New York,82.9605480434385,36,59,4.3,18554.0,445517.0,930446.0,1356564.0,25116.0,225581.0,18775.0,12774.0,111240.0,41.6,0.457,341992.0,45.2,86216.0,8.3,5.7,91.2,158708.0,2018
New York County,New York,84.7782146045103,36,61,5.7,473794.0,758133.0,917402.0,1632480.0,123027.0,423683.0,34593.0,110043.0,82459.0,37.3,0.5971,322848.0,60.8,575184.0,10.3,16.6,87.0,241850.0,2018
